"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1007.1","1009.3","24.4","21.5","84","2.5","250","4.1","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1006.8","1009.0","24.3","21.6","85","2.2","260","3.8","260","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1006.6","1008.8","24.1","21.4","85","1.9","260","4.2","250","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1006.6","1008.8","24.0","20.9","83","2.8","240","3.8","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1006.7","1008.9","23.8","20.9","84","2.6","250","4.2","230","0.0","0.0","--","0.00","--","0","--","24.7","25.1","25.6","26.2","26.9","27.8","26.9"
"06","1007.0","1009.2","24.1","21.4","85","2.8","260","4.2","250","0.0","0.0","0.0","0.07","--","0","--","--","--","--","--","--","--","--"
"07","1007.6","1009.8","24.9","21.6","82","2.3","240","3.7","260","0.0","0.0","0.0","0.34","--","0","--","--","--","--","--","--","--","--"
"08","1007.7","1009.9","26.1","21.3","75","1.7","260","3.6","240","0.0","0.0","0.0","0.60","20.0","1","9.0","--","--","--","--","--","--","--"
"09","1008.1","1010.3","27.6","21.7","70","0.9","220","2.6","220","0.0","0.0","0.0","1.32","20.0","3","8.0","25.9","25.3","25.6","25.8","26.7","27.7","26.9"
"10","1008.2","1010.4","28.0","22.5","72","1.6","120","2.8","160","0.0","0.0","0.3","2.20","--","6","--","--","--","--","--","--","--","--"
"11","1007.9","1010.1","27.8","22.8","74","1.4","160","3.2","140","0.0","0.0","0.0","1.29","20.0","5","10.0","--","--","--","--","--","--","--"
"12","1007.3","1009.5","27.5","22.9","76","2.6","120","3.4","140","0.0","0.0","0.0","1.45","--","5","--","--","--","--","--","--","--","--"
"13","1007.1","1009.3","28.2","23.8","77","2.3","140","4.4","140","0.0","0.0","0.0","1.57","--","6","--","--","--","--","--","--","--","--"
"14","1006.6","1008.8","27.4","24.3","83","2.0","120","3.9","130","0.0","0.0","0.0","0.95","18.0","3","10.0","27.7","27.3","27.5","26.7","26.9","27.7","26.9"
"15","1006.5","1008.7","27.7","23.9","80","2.3","110","3.2","120","0.0","0.0","0.0","0.81","--","2","--","--","--","--","--","--","--","--"
"16","1006.3","1008.5","27.1","23.6","81","1.7","80","3.9","100","T","0.1","0.0","0.72","--","2","--","--","--","--","--","--","--","--"
"17","1006.6","1008.8","27.5","23.8","80","2.8","70","4.5","80","0.0","0.0","0.0","0.50","18.0","1","10.0","--","--","--","--","--","--","--"
"18","1007.3","1009.5","27.1","23.8","82","1.8","30","4.7","70","0.0","0.0","0.0","0.20","--","0","--","--","--","--","--","--","--","--"
"19","1007.7","1009.9","26.8","23.5","82","1.6","20","4.1","20","0.0","0.0","0.0","0.01","--","0","--","--","--","--","--","--","--","--"
"20","1008.5","1010.7","26.8","24.1","85","1.3","10","3.2","40","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1008.9","1011.1","26.7","23.8","84","1.3","360","2.5","350","0.0","0.0","--","0.00","--","0","--","26.8","26.9","27.4","27.4","27.6","28.0","26.9"
"22","1009.0","1011.2","26.4","23.9","86","1.2","350","2.7","350","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1008.6","1010.8","25.5","23.7","90","0.6","200","1.7","30","T","0.2","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1008.1","1010.3","24.7","23.5","93","1.8","240","2.8","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
