"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1013.2","1015.4","24.0","23.3","96","2.1","220","3.4","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1012.6","1014.8","24.0","23.3","96","2.2","220","3.5","220","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1012.0","1014.2","23.4","22.6","95","1.9","220","4.3","210","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1011.9","1014.1","23.1","21.6","91","1.3","220","3.4","190","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1012.2","1014.4","23.0","20.5","86","2.9","240","4.1","220","0.0","0.0","--","0.00","--","0","--","23.4","23.5","23.9","23.9","24.1","24.0","22.0"
"06","1012.5","1014.7","22.9","20.3","85","3.3","240","4.5","230","0.0","0.0","0.0","0.01","--","0","--","--","--","--","--","--","--","--"
"07","1013.1","1015.3","23.5","20.8","85","2.1","220","5.0","230","0.0","0.0","0.0","0.10","--","0","--","--","--","--","--","--","--","--"
"08","1013.7","1015.9","24.5","20.4","78","1.5","220","3.3","240","0.0","0.0","0.1","0.49","20.0","1","7.0","--","--","--","--","--","--","--"
"09","1014.0","1016.2","25.5","22.4","83","2.4","180","4.1","170","0.0","0.0","0.1","0.86","20.0","2","6.0","23.5","23.2","23.4","23.4","23.8","24.0","22.1"
"10","1013.9","1016.1","26.4","23.3","83","7.0","180","10.4","190","0.0","0.0","0.9","2.56","--","6","--","--","--","--","--","--","--","--"
"11","1013.2","1015.4","26.8","23.5","82","6.8","180","12.2","190","0.0","0.0","0.7","2.54","20.0","8","4.0","--","--","--","--","--","--","--"
"12","1012.4","1014.6","27.1","23.6","81","6.6","170","11.5","190","0.0","0.0","1.0","3.51","--","10","--","--","--","--","--","--","--","--"
"13","1011.5","1013.7","27.7","23.9","80","8.0","170","12.3","170","0.0","0.0","1.0","3.49","--","10","--","--","--","--","--","--","--","--"
"14","1010.7","1012.9","27.1","23.4","80","6.7","170","13.2","170","0.0","0.0","1.0","3.15","20.0","8","6.0","27.2","26.2","25.9","24.2","23.9","24.0","22.2"
"15","1010.2","1012.4","26.7","23.2","81","5.1","160","11.7","180","0.0","0.0","0.6","2.16","--","5","--","--","--","--","--","--","--","--"
"16","1010.0","1012.2","26.1","23.4","85","5.6","170","11.4","160","0.0","0.0","0.0","0.91","--","2","--","--","--","--","--","--","--","--"
"17","1010.4","1012.6","25.6","23.5","88","2.9","150","8.8","180","0.0","0.0","0.0","0.48","15.0","1","9.0","--","--","--","--","--","--","--"
"18","1010.7","1012.9","25.4","23.6","90","2.1","150","4.9","140","0.0","0.0","0.0","0.10","--","0","--","--","--","--","--","--","--","--"
"19","1011.3","1013.5","25.3","23.7","91","3.7","160","5.5","160","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"20","1012.1","1014.3","25.3","23.9","92","2.9","180","5.5","180","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1012.8","1015.0","25.3","23.9","92","1.9","190","3.1","190","0.0","0.0","--","0.00","--","0","--","25.3","25.4","25.8","25.5","25.2","24.7","22.4"
"22","1012.7","1014.9","25.1","23.7","92","1.9","180","4.5","200","T","0.1","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1012.5","1014.7","25.0","23.6","92","0.1","0","3.9","170","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1012.9","1015.1","24.9","23.2","90","1.2","20","2.4","330","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
