DateTime,SeqNumber,Device_ID,Year,Month,Day,Hour,Minute,Avg_WindSpeed(m/s),Avg_Pressure(hpa),Avg_Temperature(°C),Avg_Humidity(%),Avg_Sunlight(Lux),Avg_Power(mW),Avg_Diff_WindSpeed(m/s),Avg_Diff_Pressure(hpa),Avg_Diff_Temperature(°C),Avg_Diff_Humidity(%),Avg_Diff_Sunlight(Lux),Avg_Diff_Power(mW),Min_WindSpeed(m/s),Min_Pressure(hpa),Min_Temperature(°C),Min_Humidity(%),Min_Sunlight(Lux),Min_Power(mW),Min_Diff_WindSpeed(m/s),Min_Diff_Pressure(hpa),Min_Diff_Temperature(°C),Min_Diff_Humidity(%),Min_Diff_Sunlight(Lux),Min_Diff_Power(mW),Max_WindSpeed(m/s),Max_Pressure(hpa),Max_Temperature(°C),Max_Humidity(%),Max_Sunlight(Lux),Max_Power(mW),Max_Diff_WindSpeed(m/s),Max_Diff_Pressure(hpa),Max_Diff_Temperature(°C),Max_Diff_Humidity(%),Max_Diff_Sunlight(Lux),Max_Diff_Power(mW)
2024-03-09 14:00:00,20240309140003,3,2024,3,9,14,0,2.05,1015.62,17.66,50.18,8406.56,15.84,0.78,0.03,0.04,-0.14,310.73,1.05,0.0,1015.57,17.52,49.53,7444.58,12.28,0.0,0.0,-0.01,-0.84,-380.83,-1.83,3.14,1015.71,17.71,50.71,9068.33,18.32,2.0,0.08,0.19,0.6,981.25,3.98
2024-03-09 14:10:00,20240309141003,3,2024,3,9,14,10,2.47,1015.63,18.1,49.23,10859.83,26.7,-0.09,-0.01,0.08,-0.19,372.67,1.74,0.96,1015.48,17.54,47.97,8210.0,14.88,-2.52,-0.11,-0.1,-0.48,-517.5,-2.35,4.7,1015.78,18.52,50.41,12414.17,33.87,1.3,0.07,0.24,0.32,1712.5,7.73
2024-03-09 14:20:00,20240309142003,3,2024,3,9,14,20,2.03,1015.67,18.47,48.14,11468.33,28.81,-0.12,0.0,0.01,-0.04,-217.58,-0.97,1.05,1015.63,18.26,47.86,10238.33,24.16,-2.88,-0.08,-0.19,-0.37,-1020.84,-3.41,4.27,1015.73,18.58,48.44,12863.33,35.2,2.88,0.06,0.17,0.32,449.16,1.33
2024-03-09 14:30:00,20240309143003,3,2024,3,9,14,30,1.86,1015.71,18.24,48.42,9939.42,22.68,0.01,0.01,-0.05,0.1,-177.5,-0.84,0.96,1015.6,18.0,47.88,8400.83,15.54,-2.18,-0.06,-0.23,-0.86,-1335.0,-7.69,3.14,1015.86,18.46,49.19,11504.17,31.16,2.09,0.08,0.11,0.74,844.17,4.52
2024-03-09 14:40:00,20240309144003,3,2024,3,9,14,40,1.45,1015.74,18.1,49.46,9616.58,21.97,-0.07,-0.01,0.02,0.03,181.25,0.89,0.44,1015.66,17.95,48.64,8717.5,16.64,-1.92,-0.09,-0.2,-0.61,-512.5,-4.28,3.66,1015.83,18.26,50.15,10788.33,28.9,2.79,0.05,0.14,0.45,710.84,3.48
2024-03-09 14:50:00,20240309145003,3,2024,3,9,14,50,2.01,1015.81,18.08,49.81,10126.17,23.53,0.23,0.0,-0.02,0.09,-36.25,-0.25,0.87,1015.72,17.93,49.25,8536.67,16.61,-1.05,-0.05,-0.13,-0.92,-2047.5,-9.17,3.14,1015.87,18.22,50.27,11960.83,31.26,1.49,0.11,0.13,0.83,1189.17,6.03
2024-03-09 15:00:00,20240309150003,3,2024,3,9,15,0,2.14,1015.73,17.7,50.62,7186.17,11.67,-0.04,0.0,-0.07,0.17,-359.83,-1.34,0.87,1015.69,17.36,49.87,6315.0,8.71,-1.48,-0.06,-0.17,-0.22,-1049.17,-4.54,3.31,1015.77,17.92,51.71,9009.17,17.55,1.66,0.08,0.04,0.74,-4.17,-0.03
2024-03-09 15:10:00,20240309151003,3,2024,3,9,15,10,1.29,1015.77,17.63,51.74,7220.83,11.09,-0.08,0.01,0.04,0.01,201.67,0.62,0.26,1015.65,17.35,51.04,6535.83,9.4,-0.96,-0.06,-0.04,-0.61,-155.83,-0.16,3.05,1015.93,17.8,52.24,8331.67,14.88,0.79,0.11,0.13,0.55,501.66,1.68
2024-03-09 15:20:00,20240309152003,3,2024,3,9,15,20,1.52,1015.8,17.84,51.11,9976.58,23.21,0.02,-0.01,0.04,-0.18,455.42,2.42,0.61,1015.74,17.71,50.03,8828.33,16.64,-0.78,-0.08,-0.04,-0.66,-130.0,-0.79,2.09,1015.85,18.09,51.79,12885.83,39.05,0.87,0.07,0.16,0.46,2097.5,11.0
2024-03-09 15:30:00,20240309153003,3,2024,3,9,15,30,1.14,1015.69,18.28,49.78,11324.25,31.1,-0.02,-0.01,0.04,-0.12,-210.0,-1.27,0.0,1015.64,18.07,48.83,9818.33,24.71,-0.87,-0.09,-0.06,-0.83,-1947.5,-9.88,1.92,1015.77,18.54,50.4,13084.17,39.09,1.22,0.06,0.21,0.63,1339.17,5.99
2024-03-09 15:40:00,20240309154003,3,2024,3,9,15,40,1.33,1015.74,18.24,49.53,8738.0,17.39,-0.03,0.0,-0.04,0.11,-399.92,-1.54,0.61,1015.7,18.09,48.81,6712.5,10.26,-1.65,-0.06,-0.16,-0.46,-2508.33,-9.9,2.61,1015.78,18.42,50.07,11363.33,26.94,1.13,0.05,0.13,0.64,1369.16,5.54
2024-03-09 15:50:00,20240309155003,3,2024,3,9,15,50,1.71,1015.71,18.07,49.67,9844.91,23.35,0.08,0.01,0.0,-0.04,258.58,1.02,0.78,1015.65,17.92,48.82,7202.5,13.12,-1.22,-0.04,-0.09,-1.16,-847.5,-4.68,2.7,1015.77,18.2,50.31,11928.33,31.37,1.22,0.05,0.15,0.7,1420.83,5.7
2024-03-09 16:00:00,20240309160003,3,2024,3,9,16,0,1.46,1015.8,18.01,50.33,8201.83,15.78,0.08,0.01,-0.02,0.13,-196.0,-0.72,0.44,1015.75,17.86,49.92,7405.83,12.82,-1.74,-0.05,-0.21,-0.51,-548.33,-1.92,3.75,1015.84,18.11,50.9,9162.5,20.24,1.91,0.07,0.11,0.85,204.17,1.24
