SeqNumber,Avg_Temperature(°C),Avg_Humidity(%),Avg_Sunlight(Lux),Max_Temperature(°C),Max_Humidity(%),Max_Sunlight(Lux),Max_Power(mW),Min_Temperature(°C),Min_Humidity(%),Min_Sunlight(Lux),Min_Power(mW),Avg_Lag_1_Temperature(°C),Avg_Lag_2_Temperature(°C),Avg_Lag_1_Humidity(%),Avg_Lag_2_Humidity(%),Avg_Lag_1_Sunlight(Lux),Avg_Lag_2_Sunlight(Lux),Avg_Lag_1_Power(mW),Avg_Lag_2_Power(mW),Max_Lag_1_Temperature(°C),Max_Lag_2_Temperature(°C),Max_Lag_1_Humidity(%),Max_Lag_2_Humidity(%),Max_Lag_1_Sunlight(Lux),Max_Lag_2_Sunlight(Lux),Max_Lag_1_Power(mW),Max_Lag_2_Power(mW),Min_Lag_1_Temperature(°C),Min_Lag_2_Temperature(°C),Min_Lag_1_Humidity(%),Min_Lag_2_Humidity(%),Min_Lag_1_Sunlight(Lux),Min_Lag_2_Sunlight(Lux),Min_Lag_1_Power(mW),Min_Lag_2_Power(mW),MA6_Temperature(°C),MA6_Max_Temperature(°C),MA6_Min_Temperature(°C),MA6_Humidity(%),MA6_Max_Humidity(%),MA6_Min_Humidity(%),MA6_Sunlight(Lux),MA6_Max_Sunlight(Lux),MA6_Min_Sunlight(Lux),MA6_Power(mW),MA6_Max_Power(mW),MA6_Min_Power(mW),Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Day_8,Day_9,Day_10,Day_11,Day_12,Day_13,Day_14,Day_15,Day_16,Day_17,Day_18,Day_19,Day_20,Day_21,Day_22,Day_23,Day_24,Day_25,Day_26,Day_27,Day_28,Day_29,Day_30,Day_31,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Minute_0,Minute_10,Minute_20,Minute_30,Minute_40,Minute_50,Avg_Power(mW)
20240315090012,20.532209396362305,72.39555358886719,5905.6044921875,20.817079544067383,73.18280029296875,6864.6025390625,0.009999999776482582,20.525875091552734,71.30303955078125,4920.73388671875,0.0,20.625991821289062,20.699323654174805,72.19331359863281,72.54285430908203,5163.05224609375,5176.52001953125,0.0,0.0,20.74842071533203,20.81108283996582,73.6547622680664,73.71087646484375,6696.4951171875,6437.9208984375,0.009999999776482582,0.009999999776482582,20.42283821105957,20.44844627380371,71.01980590820312,70.97655487060547,4971.81884765625,3598.488037109375,0.0,0.0,19.805988311767578,19.872142791748047,19.72060775756836,75.57170867919922,75.92634582519531,74.23377990722656,3746.690673828125,3595.385986328125,3314.088623046875,0.0,0.009999999776482582,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.15741849388357
20240315091012,20.61400604248047,71.91607666015625,5766.27587890625,20.909849166870117,72.92288208007812,6631.70751953125,0.009999999776482582,20.62046241760254,70.88170623779297,4987.9833984375,0.0,20.738698959350586,20.805173873901367,71.90055084228516,72.08866119384766,5140.830078125,5064.169921875,0.0,0.0,20.86578369140625,20.89420509338379,73.30294036865234,73.15444946289062,6242.287109375,6310.04248046875,0.009999999776482582,0.009999999776482582,20.520288467407227,20.523330688476562,70.5905990600586,70.687744140625,4890.89111328125,3524.306884765625,0.0,0.0,20.00928497314453,20.018587112426758,19.947444915771484,75.04086303710938,75.43318176269531,73.78794860839844,4100.5263671875,4132.00537109375,3426.90673828125,0.0,0.009999999776482582,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.630060245488522
20240315092012,20.59128761291504,70.87295532226562,5942.47216796875,20.929502487182617,71.94163513183594,6558.0634765625,0.009999999776482582,20.632122039794922,69.94854736328125,5306.486328125,0.0,20.786787033081055,20.8380126953125,71.01045989990234,71.09971618652344,5405.21044921875,4939.18115234375,0.0,0.0,20.87750244140625,20.85634994506836,72.21319580078125,72.17597198486328,6128.75830078125,6163.8125,0.009999999776482582,0.009999999776482582,20.52910614013672,20.519065856933594,69.70569610595703,69.65046691894531,5202.39599609375,3737.6181640625,0.0,0.0,20.063257217407227,19.9959774017334,19.9840145111084,73.92182159423828,74.47655487060547,72.74665832519531,4129.05810546875,4149.0244140625,3641.63427734375,0.0,0.009999999776482582,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0804501724692273
20240315093012,20.570314407348633,69.97489929199219,5912.73486328125,20.884723663330078,70.9749526977539,6096.42529296875,0.009999999776482582,20.597017288208008,69.21024322509766,5255.03076171875,0.0,20.761289596557617,20.79330062866211,70.09930419921875,70.25585174560547,5313.5732421875,4698.26904296875,0.0,0.0,20.83600616455078,20.818384170532227,71.15837860107422,71.40937042236328,5730.6044921875,5501.41064453125,0.009999999776482582,0.009999999776482582,20.505168914794922,20.539209365844727,68.8912582397461,68.81620788574219,5158.96630859375,3730.724853515625,0.0,0.0,20.17287826538086,20.09382438659668,20.09775161743164,72.68895721435547,73.39910125732422,71.53849792480469,4204.072265625,3989.1337890625,3902.115966796875,0.0,0.009999999776482582,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.523183931944118
20240315094012,20.68893051147461,68.95465850830078,6562.63916015625,21.054046630859375,70.10582733154297,7095.138671875,0.009999999776482582,20.73843002319336,68.19367218017578,5719.1552734375,0.0,20.941816329956055,20.987483978271484,69.08380126953125,69.29974365234375,5982.85693359375,5353.494140625,0.0,0.0,21.012468338012695,21.013198852539062,70.10127258300781,70.4945297241211,6402.03076171875,6155.2939453125,0.009999999776482582,0.009999999776482582,20.650230407714844,20.697324752807617,67.97930145263672,67.6198501586914,5515.8173828125,4114.50634765625,0.0,0.0,20.205984115600586,20.064992904663086,20.088834762573242,72.00335693359375,72.75856018066406,70.77658081054688,4271.90966796875,4322.322265625,4123.85595703125,0.0,0.009999999776482582,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.1174275312253883
20240315095012,20.864776611328125,67.95602416992188,6616.26708984375,21.21856689453125,68.96959686279297,7035.52490234375,0.009999999776482582,20.881572723388672,67.09870910644531,5822.34130859375,0.0,21.100351333618164,21.187124252319336,67.81614685058594,68.21366119384766,6108.8408203125,5423.51171875,0.0,0.0,21.145307540893555,21.16168975830078,69.16116333007812,69.48098754882812,6307.57373046875,6031.25146484375,0.009999999776482582,0.009999999776482582,20.78321075439453,20.854114532470703,66.75196075439453,66.54279327392578,5567.2099609375,4345.708984375,0.0,0.0,20.344221115112305,20.223878860473633,20.22886848449707,71.02664947509766,71.74029541015625,69.75929260253906,4051.844482421875,4108.39404296875,4268.7138671875,0.0,0.009999999776482582,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
20240315100012,21.037309646606445,67.27899932861328,6240.78759765625,21.365428924560547,67.97843933105469,6525.39892578125,0.009999999776482582,21.063770294189453,66.36428833007812,5610.6923828125,0.0,21.274620056152344,21.35836410522461,67.06602478027344,67.46540832519531,6016.25830078125,5062.76611328125,0.0,0.0,21.27942657470703,21.283370971679688,68.38975524902344,68.53506469726562,5922.58203125,5490.86865234375,0.009999999776482582,0.009999999776482582,20.912822723388672,21.052078247070312,65.9745864868164,65.83711242675781,5138.4228515625,4268.9443359375,0.0,0.0,20.65011215209961,20.56057357788086,20.530136108398438,69.88285827636719,70.74246215820312,68.72853088378906,4152.7978515625,4428.06591796875,4475.6103515625,0.0,0.009999999776482582,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
20240315101012,21.221134185791016,67.1014633178711,6034.48681640625,21.580385208129883,67.88499450683594,6407.88134765625,0.009999999776482582,21.275836944580078,66.17103576660156,5442.82958984375,0.0,21.471004486083984,21.550338745117188,66.9479751586914,67.23888397216797,5766.236328125,5176.62353515625,0.0,0.0,21.534629821777344,21.4691219329834,68.27564239501953,68.1072769165039,5587.4150390625,5657.1806640625,0.009999999776482582,0.009999999776482582,21.10521125793457,21.229915618896484,65.68765258789062,65.7425537109375,4939.19482421875,4207.5615234375,0.0,0.0,20.926422119140625,20.863933563232422,20.854736328125,69.4898452758789,70.3561019897461,68.5279312133789,4702.95166015625,5157.8935546875,4479.67138671875,0.0,0.009999999776482582,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
20240315102012,21.25943374633789,66.41292572021484,6027.212890625,21.66636848449707,67.15706634521484,6450.37841796875,0.009999999776482582,21.34931755065918,65.54532623291016,5368.7646484375,0.0,21.542964935302734,21.606243133544922,66.30426025390625,66.5339126586914,5693.28076171875,5100.9990234375,0.0,0.0,21.624788284301758,21.49547004699707,67.49840545654297,67.34574890136719,5603.25439453125,5723.123046875,0.009999999776482582,0.009999999776482582,21.182294845581055,21.26665496826172,65.03938293457031,65.04590606689453,5136.12158203125,4258.546875,0.0,0.0,21.04256820678711,20.986597061157227,20.985092163085938,68.51309204101562,69.40126037597656,67.67566680908203,4891.16162109375,5259.1181640625,4483.06787109375,0.0,0.009999999776482582,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
20240315103012,21.297691345214844,65.90493774414062,5944.89013671875,21.695634841918945,66.58272552490234,6215.62939453125,0.009999999776482582,21.357561111450195,65.2052993774414,5085.732421875,0.0,21.52744483947754,21.5755558013916,65.76597595214844,66.06704711914062,5420.69384765625,4974.75390625,0.0,0.0,21.642475128173828,21.51862144470215,66.87238311767578,66.97505187988281,5402.95751953125,5342.74658203125,0.009999999776482582,0.009999999776482582,21.232934951782227,21.300567626953125,64.55178833007812,64.6874771118164,5192.447265625,4212.98046875,0.0,0.0,21.189971923828125,21.18946647644043,21.148794174194336,67.55550384521484,68.42124938964844,66.73572540283203,5003.49072265625,4962.24853515625,4487.3359375,0.0,0.009999999776482582,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.8863106630753919
