SeqNumber,Avg_Temperature(°C),Avg_Humidity(%),Avg_Sunlight(Lux),Avg_Power(mW),Avg_Diff_Temperature(°C),Avg_Diff_Humidity(%),Avg_Diff_Sunlight(Lux),Avg_Diff_Power(mW),Avg_Lag_1_Temperature(°C),Avg_Lag_2_Temperature(°C),Avg_Lag_3_Temperature(°C),Avg_Lag_4_Temperature(°C),Avg_Lag_1_Humidity(%),Avg_Lag_2_Humidity(%),Avg_Lag_3_Humidity(%),Avg_Lag_4_Humidity(%),Avg_Lag_1_Sunlight(Lux),Avg_Lag_2_Sunlight(Lux),Avg_Lag_3_Sunlight(Lux),Avg_Lag_4_Sunlight(Lux),Avg_Lag_1_Power(mW),Avg_Lag_2_Power(mW),Avg_Lag_3_Power(mW),Avg_Lag_4_Power(mW),Avg_Sin_Hour,Avg_Cos_Hour,Avg_Sin_Minute,Avg_Cos_Minute,Max_Temperature(°C),Max_Humidity(%),Max_Sunlight(Lux),Max_Power(mW),Max_Diff_WindSpeed(m/s),Max_Diff_Pressure(hpa),Max_Diff_Temperature(°C),Max_Diff_Humidity(%),Max_Diff_Sunlight(Lux),Max_Diff_Power(mW),Max_Lag_1_Temperature(°C),Max_Lag_2_Temperature(°C),Max_Lag_3_Temperature(°C),Max_Lag_4_Temperature(°C),Max_Lag_1_Humidity(%),Max_Lag_2_Humidity(%),Max_Lag_3_Humidity(%),Max_Lag_4_Humidity(%),Max_Lag_1_Sunlight(Lux),Max_Lag_2_Sunlight(Lux),Max_Lag_3_Sunlight(Lux),Max_Lag_4_Sunlight(Lux),Max_Lag_1_Power(mW),Max_Lag_2_Power(mW),Max_Lag_3_Power(mW),Max_Lag_4_Power(mW),Max_Sin_Hour,Max_Cos_Hour,Max_Sin_Minute,Max_Cos_Minute,Min_Temperature(°C),Min_Humidity(%),Min_Sunlight(Lux),Min_Power(mW),Min_Diff_Temperature(°C),Min_Diff_Humidity(%),Min_Diff_Sunlight(Lux),Min_Diff_Power(mW),Min_Lag_1_Temperature(°C),Min_Lag_2_Temperature(°C),Min_Lag_3_Temperature(°C),Min_Lag_4_Temperature(°C),Min_Lag_1_Humidity(%),Min_Lag_2_Humidity(%),Min_Lag_3_Humidity(%),Min_Lag_4_Humidity(%),Min_Lag_1_Sunlight(Lux),Min_Lag_2_Sunlight(Lux),Min_Lag_3_Sunlight(Lux),Min_Lag_4_Sunlight(Lux),Min_Lag_1_Power(mW),Min_Lag_2_Power(mW),Min_Lag_3_Power(mW),Min_Lag_4_Power(mW),Min_Sin_Hour,Min_Cos_Hour,Min_Sin_Minute,Min_Cos_Minute,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Minute_0,Minute_10,Minute_20,Minute_30,Minute_40,Minute_50
20240123090017,15.679672241210938,62.002044677734375,9552.3251953125,44.82310610200042,0.04113646596670151,-0.1439029425382614,120.09746551513672,1.6325865983963013,15.620074272155762,15.543410301208496,15.503832817077637,15.513582229614258,61.92348098754883,62.077415466308594,62.26713180541992,62.22994613647461,9545.5947265625,9323.7822265625,8957.921875,8760.1474609375,42.70985412597656,40.569915771484375,35.042449951171875,30.95758056640625,0.7141820192337036,-0.5959228277206421,-0.05541839450597763,0.7740397453308105,15.987703323364258,62.963558197021484,13071.595703125,103.62959289550781,3.173113327648025e-09,0.011965876445174217,0.1531822830438614,0.3310829997062683,2432.39404296875,50.020103454589844,15.930652618408203,15.842580795288086,15.883184432983398,15.884429931640625,63.053192138671875,62.98451614379883,63.17674255371094,63.25981521606445,12616.7509765625,12398.365234375,12048.4736328125,11892.609375,98.78658294677734,90.23395538330078,86.80748748779297,82.0425033569336,0.7133375406265259,-0.5957002639770508,-0.052393633872270584,0.7731002569198608,15.441810607910156,61.017059326171875,7769.0771484375,20.04195213317871,-0.08467414975166321,-0.6084958910942078,-2184.5498046875,-60.08807373046875,15.314056396484375,15.276382446289062,15.250350952148438,15.235259056091309,61.17182922363281,61.09470748901367,61.26216125488281,61.444915771484375,7472.865234375,7459.85791015625,7251.88134765625,7053.94921875,23.702465057373047,14.530308723449707,19.14706039428711,9.650374412536621,0.7143768072128296,-0.596993625164032,-0.054844193160533905,0.7741401195526123,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20240123091017,15.887870788574219,62.068824768066406,12561.9921875,75.72516918321844,0.05799039453268051,-0.06380321085453033,371.76971435546875,5.913330078125,15.772643089294434,15.688990592956543,15.654096603393555,15.62848949432373,61.98668670654297,62.24790954589844,62.423160552978516,62.388668060302734,12446.3037109375,12103.63671875,11731.5654296875,11433.5947265625,69.91160583496094,64.3538589477539,59.63505554199219,54.62745666503906,0.7309375405311584,-0.6397389769554138,0.7422605156898499,0.4572511911392212,16.269792556762695,63.16202926635742,16735.71484375,135.15110778808594,-1.6761561028033611e-09,0.043169714510440826,0.1687488853931427,0.35912424325942993,2909.0703125,61.1477165222168,16.163156509399414,16.08340835571289,16.03908348083496,16.053590774536133,63.22993469238281,63.15685272216797,63.382381439208984,63.50163269042969,16310.7412109375,15961.8447265625,15790.2001953125,15464.779296875,134.200439453125,126.3450927734375,119.47402954101562,115.18147277832031,0.7317473888397217,-0.6388053297996521,0.7436389923095703,0.45603621006011963,15.573421478271484,61.012081146240234,10075.8876953125,39.9437255859375,-0.006294358056038618,-0.20654557645320892,-1142.96337890625,-39.89296340942383,15.482495307922363,15.429010391235352,15.353784561157227,15.315664291381836,61.249366760253906,61.16608810424805,61.312808990478516,61.47114562988281,9720.5986328125,9743.328125,9424.8486328125,9206.5966796875,38.23994064331055,30.815690994262695,30.123558044433594,22.199813842773438,0.7343816161155701,-0.6398698687553406,0.741978108882904,0.4549739360809326,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20240123092017,17.174118041992188,60.50991439819336,22909.857421875,234.077320590856,0.09520183503627777,-0.11691402643918991,293.46112060546875,4.148335933685303,17.04374885559082,16.871501922607422,16.786434173583984,16.675918579101562,60.40583801269531,60.84773635864258,60.990516662597656,60.94179916381836,23089.763671875,22616.255859375,22504.728515625,22182.76171875,230.0137176513672,227.83802795410156,222.7023162841797,212.4242401123047,0.7229595184326172,-0.6519414782524109,0.7616117596626282,-0.3857182264328003,17.616037368774414,61.712310791015625,29345.33203125,317.6511535644531,-4.814992848878319e-09,0.05678035691380501,0.21211621165275574,0.3633096516132355,4209.9873046875,100.03292846679688,17.444704055786133,17.337520599365234,17.254854202270508,17.204824447631836,61.74598693847656,61.83409881591797,62.04282760620117,62.24986267089844,29081.943359375,28886.0390625,28801.115234375,28379.576171875,318.790771484375,317.2294006347656,309.1571044921875,307.21270751953125,0.7257856130599976,-0.6522303819656372,0.7631209492683411,-0.3815106749534607,16.704809188842773,59.23274612426758,18010.349609375,148.40533447265625,0.034276995807886124,-0.29363468289375305,-2237.643798828125,-65.2450942993164,16.576948165893555,16.501480102539062,16.325082778930664,16.271211624145508,59.53811264038086,59.63482666015625,59.8231201171875,59.90205383300781,17879.24609375,17928.501953125,17557.232421875,17461.603515625,144.00851440429688,142.93539428710938,135.2329864501953,127.47321319580078,0.72828209400177,-0.652900218963623,0.762162983417511,-0.3900759816169739,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20240123093017,18.90437126159668,57.35071563720703,33253.83984375,404.2657898449026,0.1144212931394577,-0.25876981019973755,-47.67140197753906,-1.5334770679473877,18.71495246887207,18.538949966430664,18.439403533935547,18.219846725463867,57.310482025146484,57.86123275756836,57.93280029296875,58.00904083251953,33708.52734375,33250.59375,33455.64453125,33299.20703125,404.72283935546875,410.4519348144531,404.0347900390625,391.0553283691406,0.7193647623062134,-0.6374157071113586,0.03448385372757912,-0.86872798204422,19.253908157348633,58.599300384521484,40038.85546875,480.7366027832031,-2.7904434318770654e-10,0.018975283950567245,0.23048363626003265,0.2966698110103607,4203.435546875,100.40125274658203,19.121519088745117,18.976821899414062,18.876949310302734,18.844308853149414,58.61294174194336,58.7584342956543,59.03934860229492,59.4206657409668,40120.375,40082.1484375,39848.3515625,39433.109375,485.64288330078125,485.0539855957031,478.63525390625,477.19952392578125,0.7203656435012817,-0.639275074005127,0.03946981206536293,-0.8575412034988403,18.3780574798584,56.003456115722656,27133.681640625,288.9163818359375,-0.015305256471037865,-0.8113788366317749,-3929.948486328125,-107.3681640625,18.22263526916504,18.081539154052734,17.876842498779297,17.796951293945312,56.336238861083984,56.57734298706055,56.855289459228516,56.94984817504883,27265.98828125,27314.724609375,27254.35546875,27303.30078125,288.9937744140625,291.5081481933594,285.5191650390625,276.3607177734375,0.7224719524383545,-0.6394885778427124,0.0412302203476429,-0.8683121204376221,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20240123094017,20.75254249572754,53.5173454284668,41698.890625,551.9515520149716,0.12185997515916824,-0.32179391384124756,-207.7805938720703,-5.504453659057617,20.58535385131836,20.44784927368164,20.264015197753906,20.064111709594727,53.511043548583984,54.022117614746094,54.14928436279297,54.280208587646484,42232.640625,41871.96484375,42347.43359375,42196.7890625,556.6040649414062,564.2899169921875,561.103759765625,546.0676879882812,0.744944155216217,-0.6220148801803589,-0.807625412940979,-0.4532579183578491,21.13333511352539,54.61338424682617,48822.94140625,638.1680908203125,7.791527423250955e-10,0.0032896571792662144,0.2453790009021759,0.2702365219593048,4499.79345703125,111.35501098632812,21.02311897277832,20.835607528686523,20.73333168029785,20.66658592224121,54.75590896606445,55.03293228149414,55.36305236816406,55.70761489868164,49148.29296875,49103.546875,49022.828125,48630.3828125,638.1223754882812,635.919189453125,637.2083740234375,636.4729614257812,0.7452689409255981,-0.6249369382858276,-0.8013970255851746,-0.43611055612564087,20.220857620239258,52.186737060546875,34590.8125,408.9912414550781,-0.04458421841263771,-0.9690300226211548,-4967.8193359375,-128.142578125,20.01729393005371,19.872589111328125,19.662887573242188,19.52543067932129,52.58394241333008,52.79231643676758,52.99293518066406,53.31120681762695,34748.5234375,35087.3515625,35076.54296875,35321.98046875,413.7918701171875,417.36407470703125,415.79248046875,404.73895263671875,0.7461729645729065,-0.6237313747406006,-0.7988207936286926,-0.4473559856414795,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20240123095017,22.417625427246094,49.810855865478516,47699.93359375,649.5309751400835,0.11692686378955841,-0.24027997255325317,-136.40145874023438,-4.184828758239746,22.245508193969727,22.12050437927246,21.94528579711914,21.745746612548828,49.74454879760742,50.28411102294922,50.31650924682617,50.618011474609375,48401.58984375,47974.15234375,48570.27734375,48337.48046875,652.658935546875,660.2028198242188,656.9633178710938,640.7911987304688,0.7631650567054749,-0.6460421085357666,-0.818011462688446,0.5067155361175537,22.795114517211914,50.781734466552734,54770.08203125,732.2999877929688,-1.5553638377241441e-09,0.017538070678710938,0.2453177124261856,0.257390558719635,4528.07421875,116.47283172607422,22.668596267700195,22.483613967895508,22.39318084716797,22.304157257080078,50.9024543762207,51.13889694213867,51.56394958496094,51.82474136352539,55309.5703125,55213.61328125,55065.74609375,54833.26171875,730.4779052734375,725.652099609375,730.9137573242188,724.1281127929688,0.7638968825340271,-0.6480785608291626,-0.8088976144790649,0.5145089626312256,21.826086044311523,48.68490219116211,40222.5859375,489.7262878417969,-0.010835032910108566,-0.5570324659347534,-4165.2666015625,-113.55828857421875,21.697669982910156,21.560375213623047,21.294029235839844,21.1774959564209,49.05364990234375,49.07333755493164,49.21562957763672,49.73600769042969,40352.1328125,40852.203125,40817.2265625,41146.23046875,498.3937072753906,503.20068359375,503.1430969238281,493.69061279296875,0.7632063031196594,-0.6459914445877075,-0.8098748922348022,0.5095201730728149,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20240123100017,23.895244598388672,47.2003059387207,54742.08984375,779.4211101144712,0.11469319462776184,-0.18160097301006317,-181.97618103027344,-4.292669296264648,23.711393356323242,23.506071090698242,23.391721725463867,23.198524475097656,47.061065673828125,47.70027160644531,47.594703674316406,47.894100189208984,55607.9765625,55444.859375,55893.6640625,55699.64453125,783.2034912109375,792.64111328125,791.000732421875,774.6005859375,0.5988637804985046,-0.8048025369644165,0.06279310584068298,0.859474778175354,24.178163528442383,48.0167236328125,62161.29296875,862.68701171875,-4.860325475419813e-09,0.027401817962527275,0.24234452843666077,0.24579989910125732,4625.40966796875,126.42342376708984,24.0931339263916,23.853553771972656,23.784868240356445,23.731124877929688,48.03086853027344,48.233863830566406,48.68290710449219,49.077884674072266,62728.69921875,62697.3671875,62636.359375,62227.55859375,869.7228393554688,863.627685546875,863.1646118164062,859.685546875,0.5991799831390381,-0.806311845779419,0.07307802140712738,0.8611201047897339,23.3343563079834,46.14671325683594,46641.77734375,597.8826904296875,0.02262764424085617,-0.4055667519569397,-3918.729736328125,-114.55703735351562,23.20180892944336,23.096481323242188,22.797779083251953,22.66292381286621,46.51212692260742,46.59199905395508,46.64857482910156,47.19853210449219,46888.58203125,47880.4375,47528.0703125,47907.58984375,606.1389770507812,611.0740966796875,612.1895751953125,608.48388671875,0.5957686901092529,-0.8060882091522217,0.06689543277025223,0.8596608638763428,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
20240123101017,25.897573471069336,44.236419677734375,61903.15625,921.9019342775999,0.13198883831501007,-0.1634022295475006,-55.17048263549805,-3.1779890060424805,25.60985565185547,25.403018951416016,25.2744140625,25.04511070251465,44.3336067199707,45.018516540527344,44.999794006347656,45.20494079589844,62563.86328125,62684.3125,63086.83984375,62964.78515625,925.31982421875,933.13818359375,933.1923217773438,919.4022827148438,0.6328661441802979,-0.7970022559165955,0.7805728316307068,0.4663170576095581,26.160627365112305,45.061851501464844,69261.9375,1012.5249633789062,-6.318074952105235e-09,0.04821702465415001,0.2568061053752899,0.2567175030708313,4871.037109375,141.40267944335938,26.07113265991211,25.827394485473633,25.625696182250977,25.626220703125,45.2066535949707,45.416465759277344,45.89400863647461,46.36496353149414,69952.2890625,69708.765625,69895.03125,69594.59375,1022.0300903320312,1014.4412231445312,1016.9378051757812,1020.0778198242188,0.6380994915962219,-0.7979497313499451,0.7821033596992493,0.46930015087127686,25.21870994567871,43.3010139465332,53187.765625,719.5989990234375,0.07248114794492722,-0.08947431296110153,-3223.96337890625,-102.37059020996094,25.06783676147461,24.928268432617188,24.64920997619629,24.50919532775879,43.810489654541016,43.910186767578125,44.104061126708984,44.46738052368164,53599.29296875,54568.98046875,54180.5703125,54514.61328125,724.88720703125,732.1504516601562,732.0167846679688,725.159912109375,0.6349043250083923,-0.7948171496391296,0.7803587317466736,0.4624439477920532,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
20240123102017,27.9534912109375,41.652008056640625,72089.9296875,1113.1720498330542,0.1633126437664032,-0.24338200688362122,-262.2527160644531,-7.370173931121826,27.6607666015625,27.366117477416992,27.2614803314209,26.882444381713867,41.727508544921875,42.45466613769531,42.75341796875,42.75923156738281,72811.953125,73059.0546875,73625.328125,73674.734375,1119.9481201171875,1131.2120361328125,1130.943115234375,1126.046142578125,0.6292769312858582,-0.8057811260223389,0.7745034694671631,-0.4284985661506653,28.198198318481445,42.351341247558594,79168.484375,1221.291015625,-5.277925652080739e-09,0.03917090222239494,0.2806801497936249,0.19708120822906494,4774.30517578125,150.10289001464844,28.067697525024414,27.799589157104492,27.5225772857666,27.493040084838867,42.619075775146484,42.89278030395508,43.2528190612793,43.76633834838867,79819.1484375,79676.21875,79957.40625,79674.5859375,1235.711669921875,1231.8509521484375,1235.6058349609375,1238.435791015625,0.6384484171867371,-0.8082085847854614,0.7757477164268494,-0.42149537801742554,27.22593116760254,40.54724884033203,62922.88671875,893.3148193359375,0.09271632879972458,-0.09327303618192673,-4035.979248046875,-126.71482849121094,27.01081657409668,26.834251403808594,26.569095611572266,26.344396591186523,41.11513900756836,41.47638702392578,41.7706184387207,42.02391815185547,63495.53515625,64489.96875,64286.37109375,64653.90234375,900.8070068359375,911.5220336914062,911.6455688476562,903.0384521484375,0.6338475346565247,-0.8045997023582458,0.774706244468689,-0.4317544102668762,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
20240123103017,29.831859588623047,39.095821380615234,76739.59375,1207.429671176852,0.16268572211265564,-0.3581976592540741,-638.8641967773438,-13.324335098266602,29.567367553710938,29.32347869873047,29.24578857421875,28.780813217163086,39.299659729003906,39.950157165527344,40.28208541870117,40.39934158325195,77542.75,77855.6171875,78599.96875,78816.015625,1219.2269287109375,1233.7674560546875,1234.7099609375,1238.4833984375,0.6331885457038879,-0.8008018136024475,0.03222303092479706,-0.9041314721107483,30.074159622192383,39.7824821472168,83227.828125,1327.1236572265625,1.0713421261243639e-09,-0.002007976872846484,0.27627214789390564,0.1412871927022934,4245.20068359375,138.5258026123047,29.987987518310547,29.7015323638916,29.43369483947754,29.39118003845215,40.04928970336914,40.263187408447266,40.62003707885742,41.172508239746094,83855.578125,83914.9375,84171.8984375,83904.671875,1343.176513671875,1341.9759521484375,1348.63671875,1350.823486328125,0.6398810744285583,-0.8062206506729126,0.034385014325380325,-0.8933268785476685,29.162616729736328,37.986637115478516,67740.359375,988.9826049804688,0.015189016237854958,-0.4978538751602173,-5831.3544921875,-171.2998046875,28.919519424438477,28.721179962158203,28.49543571472168,28.222959518432617,38.493614196777344,39.02543640136719,39.22896194458008,39.58865737915039,68372.78125,69379.453125,69582.0859375,69979.640625,1000.6891479492188,1013.2494506835938,1018.5595092773438,1008.9937744140625,0.6341862678527832,-0.8021502494812012,0.0369386151432991,-0.9029574990272522,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
