SeqNumber,Avg_Temperature(°C),Avg_Humidity(%),Avg_Sunlight(Lux),Avg_Power(mW),Avg_Diff_Temperature(°C),Avg_Diff_Humidity(%),Avg_Diff_Sunlight(Lux),Avg_Diff_Power(mW),Avg_Lag_1_Temperature(°C),Avg_Lag_2_Temperature(°C),Avg_Lag_1_Humidity(%),Avg_Lag_2_Humidity(%),Avg_Lag_1_Sunlight(Lux),Avg_Lag_2_Sunlight(Lux),Avg_Lag_1_Power(mW),Avg_Lag_2_Power(mW),Avg_Sin_Hour,Avg_Cos_Hour,Avg_Sin_Minute,Avg_Cos_Minute,Max_Temperature(°C),Max_Humidity(%),Max_Sunlight(Lux),Max_Power(mW),Max_Diff_WindSpeed(m/s),Max_Diff_Pressure(hpa),Max_Diff_Temperature(°C),Max_Diff_Humidity(%),Max_Diff_Sunlight(Lux),Max_Diff_Power(mW),Max_Lag_1_Temperature(°C),Max_Lag_2_Temperature(°C),Max_Lag_1_Humidity(%),Max_Lag_2_Humidity(%),Max_Lag_1_Sunlight(Lux),Max_Lag_2_Sunlight(Lux),Max_Lag_1_Power(mW),Max_Lag_2_Power(mW),Max_Sin_Hour,Max_Cos_Hour,Max_Sin_Minute,Max_Cos_Minute,Min_Temperature(°C),Min_Humidity(%),Min_Sunlight(Lux),Min_Power(mW),Min_Diff_Temperature(°C),Min_Diff_Humidity(%),Min_Diff_Sunlight(Lux),Min_Diff_Power(mW),Min_Lag_1_Temperature(°C),Min_Lag_2_Temperature(°C),Min_Lag_1_Humidity(%),Min_Lag_2_Humidity(%),Min_Lag_1_Sunlight(Lux),Min_Lag_2_Sunlight(Lux),Min_Lag_1_Power(mW),Min_Lag_2_Power(mW),Min_Sin_Hour,Min_Cos_Hour,Min_Sin_Minute,Min_Cos_Minute,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Day_8,Day_9,Day_10,Day_11,Day_12,Day_13,Day_14,Day_15,Day_16,Day_17,Day_18,Day_19,Day_20,Day_21,Day_22,Day_23,Day_24,Day_25,Day_26,Day_27,Day_28,Day_29,Day_30,Day_31,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Minute_0,Minute_10,Minute_20,Minute_30,Minute_40,Minute_50
20240125090002,15.268321990966797,75.36306762695312,10554.4140625,52.956307805264544,0.01937660202383995,-0.6156834959983826,508.6559143066406,2.2035253047943115,15.358970642089844,15.339065551757812,75.53467559814453,75.817138671875,10085.6650390625,9745.2548828125,34.53937530517578,30.736753463745117,0.69621342420578,-0.5931224822998047,-0.017300212755799294,0.8213218450546265,15.615198135375977,76.22589111328125,11841.8828125,80.98275756835938,0.9552848935127258,0.04791947826743126,0.13348974287509918,0.2014181762933731,1352.2667236328125,25.79047966003418,15.56209945678711,15.370327949523926,76.80101013183594,76.9950180053711,11916.779296875,11207.9453125,73.85426330566406,50.11772918701172,0.6949185132980347,-0.5926222801208496,-0.01712385006248951,0.8223941326141357,15.177850723266602,74.30716705322266,9595.1923828125,39.011749267578125,-0.06400709599256516,-2.104031562805176,-1439.1357421875,-24.3742618560791,15.092801094055176,15.027735710144043,74.70713806152344,74.8186264038086,8969.3798828125,9008.5341796875,42.03571701049805,36.859134674072266,0.6822023987770081,-0.5924004912376404,-0.012401268817484379,0.8253083229064941,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20240125091002,15.66264820098877,74.15506744384766,14006.3759765625,103.5491234375408,0.025579679757356644,-0.5184378623962402,479.0575866699219,2.5943877696990967,15.683154106140137,15.685876846313477,74.28691864013672,74.46981048583984,13349.0380859375,13077.5166015625,85.081298828125,88.20706939697266,0.7564825415611267,-0.6411269903182983,0.7099080681800842,0.3729381561279297,16.05543327331543,75.1811294555664,15605.6669921875,139.4686737060547,1.0072081089019775,0.05009020119905472,0.16847415268421173,0.3844086527824402,1720.289794921875,30.42150115966797,16.047698974609375,15.802556991577148,75.5599365234375,75.79928588867188,15776.509765625,14966.951171875,132.25184631347656,115.60823059082031,0.7600136399269104,-0.6402279138565063,0.7135795950889587,0.37212061882019043,15.489307403564453,72.94338989257812,12423.8203125,78.04461669921875,-0.09164338558912277,-2.040175199508667,-1721.333251953125,-34.23527908325195,15.460331916809082,15.262130737304688,73.41139221191406,73.57598876953125,11836.4873046875,11590.099609375,82.07854461669922,77.17822265625,0.7480040192604065,-0.6420683264732361,0.7174978256225586,0.37370944023132324,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20240125092002,16.143739700317383,72.9457015991211,16215.763671875,146.21514277841564,0.021934527903795242,-0.46100038290023804,400.29852294921875,2.9946625232696533,16.165855407714844,16.06077766418457,73.17410278320312,73.1613998413086,15538.5869140625,15594.49609375,129.41798400878906,131.7701416015625,0.7386947274208069,-0.6588060855865479,0.7240245938301086,-0.44879841804504395,16.489992141723633,73.96954345703125,17508.837890625,176.8376922607422,1.0339953899383545,0.056776005774736404,0.16977480053901672,0.3917229473590851,1301.27880859375,22.31792449951172,16.500518798828125,16.284591674804688,74.39030456542969,74.48474884033203,17546.314453125,16935.958984375,171.40272521972656,151.8111572265625,0.7387328147888184,-0.6589617729187012,0.7256531119346619,-0.4472637176513672,15.797837257385254,71.93168640136719,14314.0185546875,115.69944763183594,-0.1137411817908287,-1.8880832195281982,-1170.6793212890625,-27.89866828918457,15.84362506866455,15.729289054870605,72.30732727050781,72.35938262939453,13809.6689453125,13913.2822265625,117.05017852783203,116.24566650390625,0.7324236631393433,-0.6601305603981018,0.7312375903129578,-0.44699418544769287,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20240125093002,16.51833724975586,71.71389770507812,17979.75390625,177.19562752419256,0.009708370082080364,-0.49307680130004883,254.980712890625,1.8812055587768555,16.56157875061035,16.46385383605957,72.05696868896484,72.11173248291016,17538.53515625,17537.318359375,161.75538635253906,165.24356079101562,0.7359616756439209,-0.6596974730491638,-0.024359270930290222,-0.884078860282898,16.924671173095703,72.80757141113281,19281.853515625,202.3574676513672,1.0324007272720337,0.0563775897026062,0.17413115501403809,0.3547975420951843,1298.0665283203125,16.21266746520996,16.888992309570312,16.761829376220703,73.26301574707031,73.53749084472656,18939.705078125,18723.712890625,195.40591430664062,182.02296447753906,0.7324854135513306,-0.6600226163864136,-0.022613951936364174,-0.8790351152420044,16.22054672241211,70.72856140136719,15961.255859375,144.16378784179688,-0.15226811170578003,-2.048074960708618,-1582.8375244140625,-29.22821617126465,16.20113754272461,16.10492706298828,71.08271026611328,71.28095245361328,15637.701171875,15395.6416015625,145.4785614013672,143.7088165283203,0.7285478115081787,-0.6593644618988037,-0.012988641858100891,-0.8865576982498169,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20240125094002,17.12464141845703,70.15744018554688,20101.080078125,212.33626597379438,0.005340809468179941,-0.5520872473716736,246.8166046142578,2.4573023319244385,17.153722763061523,16.961143493652344,70.66754150390625,70.61824798583984,19728.72265625,20054.599609375,198.44700622558594,202.97857666015625,0.7490978240966797,-0.6609841585159302,-0.8045304417610168,-0.47653627395629883,17.531763076782227,71.45015716552734,21821.326171875,247.0611114501953,1.0391019582748413,0.05212533473968506,0.1948387324810028,0.3873942494392395,1562.2999267578125,31.482114791870117,17.471355438232422,17.350439071655273,71.74139404296875,72.2496109008789,21670.849609375,21410.888671875,242.4141845703125,226.13182067871094,0.7481632232666016,-0.6597307920455933,-0.8062077760696411,-0.4695284366607666,16.751195907592773,69.1901626586914,17905.314453125,175.2030792236328,-0.1763550490140915,-2.1044092178344727,-1962.986328125,-36.33193588256836,16.759593963623047,16.689102172851562,69.57344055175781,69.58631896972656,17577.39453125,17262.25,174.6708221435547,171.1927032470703,0.7413181662559509,-0.6601587533950806,-0.7935150265693665,-0.4782003164291382,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20240125095002,17.70196533203125,68.48973083496094,22650.5078125,247.37649051918675,0.01033325307071209,-0.47139105200767517,320.599853515625,2.941204071044922,17.7290096282959,17.62404441833496,68.66731262207031,68.87818908691406,22153.466796875,22359.00390625,231.81915283203125,236.64048767089844,0.7511398792266846,-0.6961469054222107,-0.8147903680801392,0.402493953704834,18.11435890197754,69.75791931152344,24899.599609375,290.29425048828125,1.0760027170181274,0.047588858753442764,0.2085500955581665,0.5756481289863586,1830.1351318359375,43.04591751098633,18.169492721557617,17.94676971435547,69.90913391113281,70.45614624023438,24566.455078125,24205.1171875,289.4012756347656,268.7297668457031,0.7498546838760376,-0.6970651149749756,-0.8186743855476379,0.4122650623321533,17.402677536010742,67.32950592041016,20342.23046875,210.7892608642578,-0.16187500953674316,-2.150890350341797,-2001.5029296875,-40.797088623046875,17.330936431884766,17.255903244018555,67.72624969482422,67.56538391113281,19995.376953125,19683.455078125,203.33628845214844,204.1141815185547,0.7451432943344116,-0.6949676275253296,-0.8061585426330566,0.40663671493530273,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20240125100002,18.41045379638672,66.53539276123047,25141.02734375,286.55491544444317,0.008732516318559647,-0.38832327723503113,337.1958312988281,4.460909366607666,18.462167739868164,18.43644905090332,66.88327026367188,67.02156066894531,24777.142578125,24900.787109375,276.1768798828125,279.87457275390625,0.580860435962677,-0.7796428203582764,-0.02076295204460621,0.8645988702774048,18.867385864257812,67.90941619873047,27915.013671875,338.0294494628906,1.097745656967163,0.04627833142876625,0.21873101592063904,0.7762073874473572,2350.055419921875,53.69944381713867,18.90116310119629,18.633119583129883,68.12049102783203,68.58416748046875,27732.01171875,27200.328125,338.0335998535156,313.611572265625,0.5812510848045349,-0.7786109447479248,-0.022122150287032127,0.8721513748168945,18.100412368774414,65.27175903320312,22845.826171875,249.60922241210938,-0.18230478465557098,-2.039419651031494,-2129.435791015625,-40.88770294189453,17.948307037353516,17.924991607666016,65.75532531738281,65.63336181640625,22491.556640625,22336.0,245.34310913085938,245.68478393554688,0.5686299204826355,-0.7786718606948853,-0.013607491739094257,0.8672902584075928,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
20240125101002,18.859811782836914,65.69044494628906,26932.75,304.6992442569041,0.017677737399935722,-0.41482171416282654,108.84349822998047,1.8695604801177979,18.855031967163086,18.844133377075195,65.81867980957031,66.06900024414062,26385.380859375,26450.966796875,292.2103271484375,292.7254638671875,0.5980474352836609,-0.8096779584884644,0.7464979887008667,0.4164847135543823,19.383882522583008,67.08396911621094,29792.4453125,359.5843200683594,1.116089105606079,0.04771232604980469,0.2401634305715561,0.8753768801689148,2613.41455078125,53.63274002075195,19.43733787536621,19.17078399658203,67.22318267822266,67.50296783447266,29642.998046875,29348.87890625,359.3578186035156,341.1103820800781,0.5936107039451599,-0.8092209100723267,0.7475101947784424,0.4169468879699707,18.510910034179688,64.1640853881836,24063.015625,260.23406982421875,-0.22745834290981293,-2.203566312789917,-2624.96484375,-50.70207214355469,18.436813354492188,18.26551628112793,64.71930694580078,64.71758270263672,23749.033203125,23469.15234375,258.8435363769531,258.9427185058594,0.5955398082733154,-0.8107543587684631,0.7462679743766785,0.41400301456451416,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
20240125102002,19.57894515991211,63.65150451660156,29594.123046875,351.9712948883331,0.018763156607747078,-0.36129850149154663,-33.48808670043945,0.16679321229457855,19.585464477539062,19.495996475219727,63.88300704956055,64.07167053222656,29130.662109375,29324.55078125,343.2250061035156,336.8190612792969,0.5733494758605957,-0.8164680004119873,0.7625612020492554,-0.46526646614074707,20.118370056152344,65.15962982177734,32486.193359375,413.78680419921875,1.130590796470642,0.05766153335571289,0.2653672993183136,0.9023562669754028,2642.677734375,56.500038146972656,20.14666175842285,19.953813552856445,65.38084411621094,65.38373565673828,32372.9609375,32414.072265625,413.58990478515625,396.9735412597656,0.5624533295631409,-0.8178411722183228,0.7632644772529602,-0.4690042734146118,19.07927131652832,62.31077575683594,25999.15625,289.853515625,-0.26360416412353516,-2.159351348876953,-2938.614990234375,-68.08863067626953,19.107315063476562,18.98984718322754,62.759857177734375,62.65846252441406,25684.697265625,25876.466796875,289.35931396484375,295.2767028808594,0.5737067461013794,-0.8178598880767822,0.7595256567001343,-0.470562219619751,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
20240125103002,20.108936309814453,61.4566764831543,32018.427734375,390.52598523377435,0.009643352590501308,-0.4053446054458618,-182.4144287109375,-2.5658040046691895,20.147951126098633,20.07102394104004,61.803707122802734,62.09778594970703,31945.578125,31864.4453125,386.2350158691406,378.3780822753906,0.5652220249176025,-0.8183766603469849,-0.02378169819712639,-0.9101691246032715,20.765518188476562,63.11777877807617,35324.56640625,461.1027526855469,1.125177264213562,0.055416740477085114,0.28805726766586304,0.8693149089813232,3045.4462890625,61.886348724365234,20.694673538208008,20.632408142089844,63.421512603759766,63.543983459472656,35076.25390625,35462.703125,456.1709899902344,449.78997802734375,0.550042986869812,-0.8193854093551636,-0.022021757438778877,-0.9156095385551453,19.664508819580078,60.085975646972656,27944.431640625,314.8070373535156,-0.3140937089920044,-2.4241011142730713,-4045.666015625,-90.99827575683594,19.672109603881836,19.52411651611328,60.51289749145508,60.569419860839844,27847.568359375,27692.71484375,317.53143310546875,323.80474853515625,0.5622454285621643,-0.8185316920280457,-0.022953713312745094,-0.9232211112976074,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
