SeqNumber,Avg_Temperature(°C),Avg_Humidity(%),Avg_Sunlight(Lux),Avg_Power(mW),Avg_Diff_Temperature(°C),Avg_Diff_Humidity(%),Avg_Diff_Sunlight(Lux),Avg_Diff_Power(mW),Avg_Lag_1_Temperature(°C),Avg_Lag_2_Temperature(°C),Avg_Lag_3_Temperature(°C),Avg_Lag_4_Temperature(°C),Avg_Lag_1_Humidity(%),Avg_Lag_2_Humidity(%),Avg_Lag_3_Humidity(%),Avg_Lag_4_Humidity(%),Avg_Lag_1_Sunlight(Lux),Avg_Lag_2_Sunlight(Lux),Avg_Lag_3_Sunlight(Lux),Avg_Lag_4_Sunlight(Lux),Avg_Lag_1_Power(mW),Avg_Lag_2_Power(mW),Avg_Lag_3_Power(mW),Avg_Lag_4_Power(mW),Avg_Sin_Hour,Avg_Cos_Hour,Avg_Sin_Minute,Avg_Cos_Minute,Max_Temperature(°C),Max_Humidity(%),Max_Sunlight(Lux),Max_Power(mW),Max_Diff_WindSpeed(m/s),Max_Diff_Pressure(hpa),Max_Diff_Temperature(°C),Max_Diff_Humidity(%),Max_Diff_Sunlight(Lux),Max_Diff_Power(mW),Max_Lag_1_Temperature(°C),Max_Lag_2_Temperature(°C),Max_Lag_3_Temperature(°C),Max_Lag_4_Temperature(°C),Max_Lag_1_Humidity(%),Max_Lag_2_Humidity(%),Max_Lag_3_Humidity(%),Max_Lag_4_Humidity(%),Max_Lag_1_Sunlight(Lux),Max_Lag_2_Sunlight(Lux),Max_Lag_3_Sunlight(Lux),Max_Lag_4_Sunlight(Lux),Max_Lag_1_Power(mW),Max_Lag_2_Power(mW),Max_Lag_3_Power(mW),Max_Lag_4_Power(mW),Max_Sin_Hour,Max_Cos_Hour,Max_Sin_Minute,Max_Cos_Minute,Min_Temperature(°C),Min_Humidity(%),Min_Sunlight(Lux),Min_Power(mW),Min_Diff_Temperature(°C),Min_Diff_Humidity(%),Min_Diff_Sunlight(Lux),Min_Diff_Power(mW),Min_Lag_1_Temperature(°C),Min_Lag_2_Temperature(°C),Min_Lag_3_Temperature(°C),Min_Lag_4_Temperature(°C),Min_Lag_1_Humidity(%),Min_Lag_2_Humidity(%),Min_Lag_3_Humidity(%),Min_Lag_4_Humidity(%),Min_Lag_1_Sunlight(Lux),Min_Lag_2_Sunlight(Lux),Min_Lag_3_Sunlight(Lux),Min_Lag_4_Sunlight(Lux),Min_Lag_1_Power(mW),Min_Lag_2_Power(mW),Min_Lag_3_Power(mW),Min_Lag_4_Power(mW),Min_Sin_Hour,Min_Cos_Hour,Min_Sin_Minute,Min_Cos_Minute,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Day_8,Day_9,Day_10,Day_11,Day_12,Day_13,Day_14,Day_15,Day_16,Day_17,Day_18,Day_19,Day_20,Day_21,Day_22,Day_23,Day_24,Day_25,Day_26,Day_27,Day_28,Day_29,Day_30,Day_31,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Minute_0,Minute_10,Minute_20,Minute_30,Minute_40,Minute_50
20240509090005,28.832517623901367,62.09336853027344,20062.171875,135.57056700918105,-0.03126560151576996,-0.6205379962921143,-388.48638916015625,-4.358550548553467,28.794218063354492,28.53699493408203,28.86586570739746,28.463396072387695,62.56386184692383,61.880882263183594,61.6198844909668,62.90658950805664,21039.1015625,19842.923828125,20223.53125,20005.880859375,137.7131805419922,125.83604431152344,125.91898345947266,119.91510772705078,0.6450870633125305,-0.5132381319999695,-0.04787619411945343,0.6842837333679199,29.11988639831543,63.51529312133789,23500.025390625,188.33250427246094,1.0391098260879517,-0.0038441026117652655,0.28467512130737305,1.1573307514190674,1266.07080078125,38.760643005371094,29.142995834350586,29.046682357788086,29.08394432067871,28.633541107177734,62.93182373046875,64.21556854248047,63.892860412597656,64.99198913574219,23429.076171875,22432.7265625,22787.318359375,22721.03515625,176.80775451660156,177.3595428466797,153.1371612548828,180.97792053222656,0.5945656895637512,-0.5282709002494812,-0.04948611557483673,0.679236888885498,27.976900100708008,60.550113677978516,18803.728515625,96.59504699707031,-0.815016508102417,-2.1540491580963135,-4367.67724609375,-114.89786529541016,28.25969696044922,28.23375701904297,27.8748779296875,28.07330894470215,60.31814193725586,61.40180206298828,60.01945495605469,61.22285079956055,18669.033203125,18240.71875,17589.75,17868.5,100.25465393066406,105.18904113769531,92.56991577148438,96.40947723388672,0.6407711505889893,-0.524718165397644,-0.03411188721656799,0.658129096031189,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20240509091005,29.02058219909668,60.80964279174805,20632.900390625,140.96007322357968,-0.029077349230647087,-0.6313813328742981,-442.79541015625,-5.700037956237793,29.04730796813965,28.898752212524414,29.051198959350586,28.8411808013916,61.220062255859375,60.6408805847168,60.52058029174805,61.93437576293945,21800.96875,20789.974609375,20726.009765625,21083.025390625,145.77532958984375,131.85362243652344,134.20864868164062,126.29656982421875,0.7421248555183411,-0.530258059501648,0.5920138955116272,0.20614337921142578,29.42784881591797,62.420406341552734,25445.693359375,204.64468383789062,1.0333601236343384,-0.011646059341728687,0.29814082384109497,0.8322252631187439,2167.406494140625,55.26508712768555,29.508832931518555,29.214981079101562,29.3896484375,28.943492889404297,61.521766662597656,62.99616241455078,62.63865280151367,63.90210723876953,25122.205078125,23887.576171875,24199.837890625,23742.5859375,188.3531951904297,198.59498596191406,177.72296142578125,198.44113159179688,0.6969363689422607,-0.5453630685806274,0.5947884917259216,0.19746971130371094,28.394025802612305,59.43760299682617,19169.84375,86.41911315917969,-0.8120423555374146,-2.212322950363159,-5408.73486328125,-111.15126037597656,28.4552059173584,28.456859588623047,28.126052856445312,28.25719451904297,59.24642562866211,60.487735748291016,58.706119537353516,59.90941619873047,18770.232421875,19076.849609375,18125.15234375,17828.888671875,95.27338409423828,99.6995849609375,88.13694763183594,92.83113861083984,0.7404194474220276,-0.5420769453048706,0.607376754283905,0.17882239818572998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20240509092005,29.164440155029297,60.09528350830078,21899.275390625,152.99400597274717,-0.06417910009622574,-0.6614750027656555,-643.6575317382812,-7.323473930358887,29.16738510131836,29.010156631469727,29.151744842529297,29.00226402282715,60.75294876098633,59.89011001586914,59.62508010864258,61.12201690673828,23062.568359375,21631.515625,21988.1015625,22172.51953125,156.19964599609375,142.82557678222656,150.539306640625,142.97509765625,0.7225859761238098,-0.5453515648841858,0.5863864421844482,-0.5403275489807129,29.572765350341797,61.6979866027832,26603.494140625,220.09445190429688,1.0237374305725098,-0.00028941460186615586,0.2771108150482178,0.8097704648971558,2299.62548828125,64.59160614013672,29.705591201782227,29.385757446289062,29.529483795166016,29.084514617919922,60.980934143066406,62.100120544433594,61.90861129760742,63.22288513183594,26654.908203125,25497.126953125,25821.376953125,24940.962890625,206.3041229248047,216.24203491210938,203.9444122314453,213.32437133789062,0.6854680776596069,-0.5591948628425598,0.5939309597015381,-0.5500702857971191,28.65361785888672,58.71303176879883,19828.7265625,89.05654907226562,-0.9929379820823669,-2.414458751678467,-6751.43505859375,-131.15830993652344,28.665992736816406,28.63982391357422,28.437177658081055,28.449504852294922,58.39141082763672,59.366661071777344,57.76613235473633,58.950382232666016,19479.36328125,19783.736328125,19125.716796875,18704.08203125,105.39031982421875,103.72956848144531,94.64891052246094,101.81365966796875,0.7246823906898499,-0.5545108914375305,0.5951663255691528,-0.5714505910873413,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20240509093005,29.116188049316406,59.633644104003906,21846.87890625,145.09296949397196,-0.07571860402822495,-0.7644739747047424,-610.2789916992188,-7.1914167404174805,29.1984806060791,29.01835060119629,29.137956619262695,28.984834671020508,60.19483184814453,59.22542190551758,59.003971099853516,60.53009033203125,22515.13671875,21355.66015625,21664.724609375,21990.990234375,147.98329162597656,134.27708435058594,137.9957275390625,128.59002685546875,0.7518182396888733,-0.5510592460632324,-0.11643289029598236,-0.9324051141738892,29.54661750793457,61.28936004638672,25929.36328125,206.68643188476562,1.0068186521530151,-0.011795934289693832,0.25609883666038513,0.7161527276039124,1879.6514892578125,55.739009857177734,29.725069046020508,29.4752197265625,29.509925842285156,29.117624282836914,60.5426025390625,61.505126953125,61.5619010925293,62.61027145385742,25973.46875,25373.095703125,25361.13671875,24348.865234375,197.02407836914062,202.05369567871094,190.08714294433594,196.68743896484375,0.7094213366508484,-0.5617462992668152,-0.1119687557220459,-0.9325917959213257,28.69192886352539,58.1463737487793,19800.744140625,85.3321762084961,-1.060333251953125,-2.635286569595337,-6562.52978515625,-131.67396545410156,28.565656661987305,28.643136978149414,28.447616577148438,28.476390838623047,57.85380554199219,58.77796173095703,57.27815628051758,58.3508415222168,19260.314453125,19504.96875,19249.525390625,18405.904296875,94.61577606201172,98.7432632446289,93.15507507324219,99.089111328125,0.753095269203186,-0.5585672855377197,-0.11645819246768951,-0.9547678232192993,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20240509094005,29.194786071777344,59.31362533569336,22140.361328125,154.99107169683003,-0.0854342132806778,-0.860700786113739,-586.7960205078125,-6.686384677886963,29.31983757019043,29.137144088745117,29.19564437866211,29.142162322998047,59.97138214111328,58.81764602661133,58.74207305908203,60.203067779541016,22923.173828125,21741.138671875,21840.140625,22323.271484375,156.3717803955078,146.50411987304688,142.2208251953125,136.0831298828125,0.7925828695297241,-0.546762228012085,-0.8386486172676086,-0.5213751792907715,29.563648223876953,61.21364212036133,26547.798828125,213.79556274414062,1.005704641342163,-0.014555645175278187,0.25491541624069214,0.6762197613716125,2113.43896484375,57.443878173828125,29.730167388916016,29.625213623046875,29.718753814697266,29.167346954345703,60.361324310302734,61.47119903564453,61.39945983886719,62.25331497192383,26575.54296875,25951.005859375,26066.578125,25054.56640625,221.51947021484375,219.20458984375,202.94659423828125,210.5147705078125,0.7471354603767395,-0.5579830408096313,-0.8385801315307617,-0.5253201723098755,28.764150619506836,57.81911849975586,19950.345703125,93.67332458496094,-1.1478327512741089,-2.6882596015930176,-7030.35888671875,-143.87527465820312,28.60095977783203,28.775527954101562,28.55109405517578,28.48527717590332,57.576053619384766,58.6561164855957,56.8974494934082,58.09765625,19701.064453125,19992.962890625,19540.779296875,18879.197265625,96.7549819946289,105.6648178100586,99.78665924072266,102.39163208007812,0.7946919798851013,-0.5598205327987671,-0.8378570675849915,-0.5456357002258301,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20240509095005,29.58561134338379,59.135643005371094,22255.900390625,151.13429869314888,-0.06892897188663483,-0.7046103477478027,-495.5518493652344,-5.380319595336914,29.631622314453125,29.369850158691406,29.60810661315918,29.442737579345703,59.492469787597656,58.41600036621094,58.479530334472656,59.478416442871094,22931.2890625,22062.40234375,21980.3359375,22384.97265625,154.76657104492188,136.5328826904297,141.32081604003906,133.021240234375,0.7855579853057861,-0.5663191080093384,-0.8404033184051514,0.31153130531311035,29.905120849609375,61.0162353515625,26509.98046875,216.18408203125,1.0106797218322754,-0.0005864189588464797,0.24886997044086456,0.9091653227806091,1852.5111083984375,51.69831848144531,30.063783645629883,29.918163299560547,30.034271240234375,29.51523780822754,59.907066345214844,60.960296630859375,60.756568908691406,61.61795425415039,26375.912109375,25643.61328125,25899.490234375,24891.537109375,206.5643768310547,205.66525268554688,197.55673217773438,212.79075622558594,0.7350771427154541,-0.5782464742660522,-0.8372882008552551,0.30927371978759766,28.970853805541992,57.4351692199707,20322.5625,101.51303100585938,-0.9839137196540833,-2.4096245765686035,-5932.71435546875,-120.76209259033203,28.917041778564453,29.146089553833008,28.786258697509766,28.931732177734375,57.070377349853516,58.13393783569336,56.47507095336914,57.38338851928711,19993.1640625,20272.640625,19348.712890625,19234.189453125,99.72603607177734,101.82998657226562,96.44327545166016,103.91095733642578,0.7847675085067749,-0.5736567378044128,-0.8318197131156921,0.2754141092300415,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20240509100005,29.79454803466797,58.672637939453125,23839.359375,169.29118199162588,-0.05421458184719086,-0.6566311120986938,-447.7274169921875,-4.633975028991699,29.831663131713867,29.581872940063477,29.78380584716797,29.557857513427734,59.046443939208984,57.94278335571289,57.81193542480469,58.86905288696289,24447.26171875,23309.431640625,23447.9609375,23511.765625,171.46078491210938,151.936767578125,160.24468994140625,151.2310028076172,0.6057829260826111,-0.624057412147522,-0.08790542930364609,0.7483129501342773,30.058557510375977,60.23854064941406,27912.2109375,231.68763732910156,1.0146747827529907,-0.010749952867627144,0.232482448220253,1.0018202066421509,2199.56298828125,52.85976028442383,30.176023483276367,30.16700553894043,30.14508056640625,29.641090393066406,59.240753173828125,60.2633056640625,60.37326431274414,60.93360137939453,28232.47265625,27627.615234375,27421.744140625,26801.7109375,229.71469116210938,223.7017822265625,208.39199829101562,223.1578369140625,0.5455044507980347,-0.6372023820877075,-0.08702221512794495,0.7463865280151367,29.142732620239258,56.92982864379883,21485.927734375,114.8771743774414,-0.9215497970581055,-2.209527015686035,-5689.06396484375,-118.4161148071289,29.095733642578125,29.361534118652344,28.976327896118164,29.106470108032227,56.76691436767578,57.633087158203125,56.243309020996094,57.03172302246094,21089.263671875,21205.220703125,20498.02734375,20746.9609375,113.18143463134766,115.7586898803711,115.16311645507812,116.87004089355469,0.6002040505409241,-0.6333159804344177,-0.07651810348033905,0.7247735261917114,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
20240509101005,29.85784149169922,58.327880859375,24408.833984375,174.21215043301834,-0.05904213339090347,-0.6376866102218628,-459.4541320800781,-5.013503551483154,29.9456787109375,29.709863662719727,29.876697540283203,29.701631546020508,58.6926383972168,57.8486328125,57.53919219970703,58.82046127319336,25135.142578125,24111.171875,23983.1484375,24215.79296875,178.09046936035156,157.56251525878906,163.72360229492188,156.08523559570312,0.6725605726242065,-0.6447482705116272,0.6353448629379272,0.28098464012145996,30.186315536499023,60.01302719116211,29594.392578125,254.56190490722656,1.0236458778381348,-0.012903756462037563,0.25861114263534546,0.8431143164634705,2937.216552734375,68.11198425292969,30.236392974853516,30.092357635498047,30.205820083618164,29.741565704345703,58.861167907714844,59.92765426635742,60.208011627197266,60.76894760131836,29353.708984375,28318.8359375,28256.103515625,27549.224609375,246.83871459960938,246.43710327148438,226.2240753173828,232.23744201660156,0.6179868578910828,-0.6576814651489258,0.6327564120292664,0.276370644569397,29.209932327270508,56.959327697753906,21778.6484375,111.02302551269531,-0.8162420392036438,-2.238469362258911,-6345.626953125,-120.17649841308594,29.105621337890625,29.356739044189453,28.982898712158203,29.05418586730957,56.547298431396484,57.71259689331055,56.122337341308594,56.89714813232422,21439.6328125,21870.6484375,20771.36328125,20844.53125,114.46481323242188,118.002685546875,113.8106689453125,114.00070190429688,0.6656776070594788,-0.6561030149459839,0.6503539681434631,0.25856220722198486,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
20240509102005,30.07320213317871,57.251075744628906,26028.3671875,195.87679919459208,-0.09650679677724838,-0.6077271103858948,-664.6154174804688,-6.904773712158203,30.130159378051758,29.895668029785156,30.106115341186523,29.868759155273438,57.99330520629883,56.963314056396484,56.43366241455078,57.80633544921875,26848.908203125,25301.439453125,25809.078125,25634.669921875,198.605712890625,178.88668823242188,187.3424072265625,181.7108917236328,0.6438862085342407,-0.6559152603149414,0.6445987224578857,-0.5209484100341797,30.408939361572266,58.923343658447266,31220.34765625,287.984130859375,1.0411070585250854,0.004494033753871918,0.27141720056533813,0.8992700576782227,3210.342041015625,82.65382385253906,30.47941780090332,30.26486587524414,30.402578353881836,29.978519439697266,58.07420349121094,58.76034927368164,59.13862609863281,59.9489631652832,31288.232421875,30115.05078125,30209.201171875,29336.166015625,277.4870300292969,281.2914733886719,262.72564697265625,261.3828430175781,0.6042578816413879,-0.6689984798431396,0.6461074948310852,-0.5277857780456543,29.416542053222656,55.919456481933594,22787.359375,119.86323547363281,-0.9754763841629028,-2.450892925262451,-7793.0859375,-153.3965606689453,29.416746139526367,29.53675079345703,29.2904109954834,29.248851776123047,55.40035629272461,56.28102493286133,54.975276947021484,55.841758728027344,22583.064453125,22785.44140625,21881.353515625,22071.486328125,135.14950561523438,130.64102172851562,126.27360534667969,126.10913848876953,0.6418354511260986,-0.6657589673995972,0.6534008383750916,-0.5494587421417236,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
20240509103005,30.013166427612305,56.2783088684082,26090.822265625,192.8580981774843,-0.11577020585536957,-0.6900160908699036,-657.3165283203125,-7.729310035705566,30.115514755249023,29.935216903686523,30.152917861938477,29.832260131835938,57.04484939575195,55.98545837402344,55.540042877197266,56.94696044921875,26512.892578125,25188.955078125,25834.083984375,25650.53125,195.6873779296875,178.35108947753906,180.2132568359375,172.78744506835938,0.6610071659088135,-0.6603456139564514,-0.08552227914333344,-0.9561269879341125,30.41584014892578,58.00911331176758,30955.009765625,284.5088806152344,1.0495980978012085,-0.0018124566413462162,0.26463744044303894,0.7648299336433411,3061.584716796875,80.71759033203125,30.525379180908203,30.30244255065918,30.396509170532227,30.083826065063477,57.232051849365234,57.84738540649414,58.314727783203125,59.03960037231445,30880.107421875,30239.021484375,29984.478515625,29253.33984375,276.6593322753906,280.8446960449219,258.4166564941406,257.6459045410156,0.6224782466888428,-0.6715121269226074,-0.08470165729522705,-0.9566982984542847,29.42112159729004,54.86015319824219,22799.21484375,116.6017837524414,-1.108758568763733,-2.752478837966919,-8009.55126953125,-168.49179077148438,29.347454071044922,29.486356735229492,29.258909225463867,29.24817657470703,54.466331481933594,55.27853012084961,54.04377746582031,54.98638916015625,22394.337890625,22506.849609375,21968.1796875,21756.673828125,127.4006118774414,127.90592193603516,124.07848358154297,122.23804473876953,0.6585240364074707,-0.6697214841842651,-0.08639398217201233,-0.9765833020210266,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
