SeqNumber,Avg_Temperature(°C),Avg_Humidity(%),Avg_Sunlight(Lux),Avg_Power(mW),Avg_Diff_Temperature(°C),Avg_Diff_Humidity(%),Avg_Diff_Sunlight(Lux),Avg_Diff_Power(mW),Avg_Lag_1_Temperature(°C),Avg_Lag_2_Temperature(°C),Avg_Lag_3_Temperature(°C),Avg_Lag_4_Temperature(°C),Avg_Lag_1_Humidity(%),Avg_Lag_2_Humidity(%),Avg_Lag_3_Humidity(%),Avg_Lag_4_Humidity(%),Avg_Lag_1_Sunlight(Lux),Avg_Lag_2_Sunlight(Lux),Avg_Lag_3_Sunlight(Lux),Avg_Lag_4_Sunlight(Lux),Avg_Lag_1_Power(mW),Avg_Lag_2_Power(mW),Avg_Lag_3_Power(mW),Avg_Lag_4_Power(mW),Avg_Sin_Hour,Avg_Cos_Hour,Avg_Sin_Minute,Avg_Cos_Minute,Max_Temperature(°C),Max_Humidity(%),Max_Sunlight(Lux),Max_Power(mW),Max_Diff_WindSpeed(m/s),Max_Diff_Pressure(hpa),Max_Diff_Temperature(°C),Max_Diff_Humidity(%),Max_Diff_Sunlight(Lux),Max_Diff_Power(mW),Max_Lag_1_Temperature(°C),Max_Lag_2_Temperature(°C),Max_Lag_3_Temperature(°C),Max_Lag_4_Temperature(°C),Max_Lag_1_Humidity(%),Max_Lag_2_Humidity(%),Max_Lag_3_Humidity(%),Max_Lag_4_Humidity(%),Max_Lag_1_Sunlight(Lux),Max_Lag_2_Sunlight(Lux),Max_Lag_3_Sunlight(Lux),Max_Lag_4_Sunlight(Lux),Max_Lag_1_Power(mW),Max_Lag_2_Power(mW),Max_Lag_3_Power(mW),Max_Lag_4_Power(mW),Max_Sin_Hour,Max_Cos_Hour,Max_Sin_Minute,Max_Cos_Minute,Min_Temperature(°C),Min_Humidity(%),Min_Sunlight(Lux),Min_Power(mW),Min_Diff_Temperature(°C),Min_Diff_Humidity(%),Min_Diff_Sunlight(Lux),Min_Diff_Power(mW),Min_Lag_1_Temperature(°C),Min_Lag_2_Temperature(°C),Min_Lag_3_Temperature(°C),Min_Lag_4_Temperature(°C),Min_Lag_1_Humidity(%),Min_Lag_2_Humidity(%),Min_Lag_3_Humidity(%),Min_Lag_4_Humidity(%),Min_Lag_1_Sunlight(Lux),Min_Lag_2_Sunlight(Lux),Min_Lag_3_Sunlight(Lux),Min_Lag_4_Sunlight(Lux),Min_Lag_1_Power(mW),Min_Lag_2_Power(mW),Min_Lag_3_Power(mW),Min_Lag_4_Power(mW),Min_Sin_Hour,Min_Cos_Hour,Min_Sin_Minute,Min_Cos_Minute,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Day_8,Day_9,Day_10,Day_11,Day_12,Day_13,Day_14,Day_15,Day_16,Day_17,Day_18,Day_19,Day_20,Day_21,Day_22,Day_23,Day_24,Day_25,Day_26,Day_27,Day_28,Day_29,Day_30,Day_31,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Minute_0,Minute_10,Minute_20,Minute_30,Minute_40,Minute_50
20240520090006,40.770748138427734,32.49851608276367,46609.89453125,421.76066847249433,0.009098369628190994,-0.14187391102313995,64.64102935791016,0.20149394869804382,40.90077590942383,41.10639953613281,41.095218658447266,40.644657135009766,33.161277770996094,32.60857009887695,31.978302001953125,33.01849365234375,46652.40234375,47028.7890625,46566.29296875,46845.46484375,426.1012878417969,410.2616271972656,394.4202575683594,410.3951416015625,0.677600085735321,-0.5817127823829651,-0.012675431556999683,0.7700504064559937,41.782894134521484,34.727088928222656,54726.13671875,580.9431762695312,0.6815710663795471,0.15414117276668549,0.32736116647720337,1.0702769756317139,6855.11376953125,140.4603271484375,41.5897216796875,41.72651290893555,41.505733489990234,41.48301696777344,34.764259338378906,34.83787536621094,34.91026306152344,35.03974533081055,54774.0078125,54343.06640625,54104.0078125,54044.97265625,569.5546264648438,561.9902954101562,552.2025756835938,546.9955444335938,0.6819127202033997,-0.5795681476593018,-0.0037247156724333763,0.7852555513381958,39.973533630371094,30.608108520507812,40560.05859375,308.46917724609375,-0.3091789186000824,-1.6181833744049072,-9390.9423828125,-171.83360290527344,39.89677429199219,40.0035285949707,39.954368591308594,40.08527374267578,31.09561538696289,31.00017738342285,31.240100860595703,30.50624656677246,40029.87109375,39347.76171875,39139.2578125,39632.35546875,305.107177734375,304.0915222167969,302.2268371582031,315.4165954589844,0.6875680685043335,-0.5749225616455078,-0.01712753251194954,0.7722630500793457,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20240520091006,40.64334487915039,33.75139236450195,48115.1328125,447.0624612500744,0.01118379831314087,-0.13069215416908264,64.60691833496094,0.4692833423614502,40.66045379638672,40.82514953613281,40.850589752197266,40.47154998779297,34.310733795166016,33.743019104003906,33.24052429199219,33.897850036621094,48204.34375,48264.87109375,48485.4453125,48289.26171875,450.3792419433594,427.6427917480469,422.3081359863281,424.83172607421875,0.7350929975509644,-0.6073625087738037,0.7022371888160706,0.29004573822021484,41.48432922363281,36.132381439208984,56724.92578125,617.115478515625,0.7105698585510254,0.15545585751533508,0.3320022523403168,1.1418416500091553,7699.92724609375,155.18519592285156,41.350372314453125,41.46950912475586,41.452613830566406,41.243072509765625,36.031166076660156,36.181278228759766,35.958778381347656,36.16651153564453,56390.078125,56581.8046875,56343.57421875,56913.1640625,605.8699951171875,593.5966186523438,591.3634643554688,583.3251953125,0.7431557178497314,-0.6001998782157898,0.7011986374855042,0.2944108247756958,39.78660202026367,31.70212745666504,41229.41796875,312.84796142578125,-0.31553030014038086,-1.5999410152435303,-9677.3955078125,-190.10194396972656,39.63145065307617,39.90396499633789,39.695533752441406,40.020973205566406,32.37736511230469,32.0217399597168,32.31536865234375,31.933565139770508,40601.71484375,39648.48828125,39473.33984375,40014.55078125,301.79718017578125,297.54693603515625,304.2627868652344,310.0085144042969,0.741416335105896,-0.5983833074569702,0.6915855407714844,0.2886993885040283,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20240520092006,40.48096466064453,34.11045837402344,49173.17578125,464.5239831087206,-0.0014321089256554842,-0.13415193557739258,7.798908233642578,-2.5508830547332764,40.525657653808594,40.66758346557617,40.70585250854492,40.33457946777344,34.82687759399414,34.119686126708984,33.547489166259766,34.249656677246094,49246.359375,49369.0390625,49648.6953125,49556.9375,469.4476013183594,456.3493347167969,438.81787109375,446.5171203613281,0.7297737002372742,-0.6277928352355957,0.670539915561676,-0.5239143371582031,41.332427978515625,36.27544403076172,58321.30859375,642.5313110351562,0.7471135854721069,0.15717819333076477,0.32398954033851624,1.1675844192504883,8176.69921875,164.1264190673828,41.23508834838867,41.4151725769043,41.348358154296875,41.179969787597656,36.58486557006836,36.4907112121582,36.390586853027344,36.18437576293945,58246.609375,58646.94140625,57989.62890625,58787.77734375,643.1807861328125,627.6189575195312,631.9690551757812,624.7388916015625,0.7436472177505493,-0.6198059320449829,0.6735784411430359,-0.5177063345909119,39.60002517700195,32.297019958496094,41490.29296875,314.27642822265625,-0.34216606616973877,-1.6484143733978271,-10822.5830078125,-219.42153930664062,39.52955627441406,39.74299240112305,39.559513092041016,39.84316635131836,32.74675750732422,32.52423095703125,32.603450775146484,32.269901275634766,41158.1171875,40314.1015625,40418.48828125,40597.91796875,311.14984130859375,307.2984924316406,310.04302978515625,314.479248046875,0.7400870323181152,-0.6191553473472595,0.6639618277549744,-0.5315076112747192,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20240520093006,40.26076889038086,34.34099197387695,49660.8046875,487.98116497490633,-0.009034543298184872,-0.12407732754945755,28.883834838867188,-1.7252546548843384,40.30760955810547,40.526702880859375,40.46153259277344,40.12583541870117,35.03614807128906,34.284523010253906,33.76742935180664,34.58496856689453,49848.4140625,50308.46875,50231.421875,50581.61328125,493.8301086425781,478.7951354980469,458.2950744628906,471.71173095703125,0.7511984705924988,-0.6395838260650635,-0.09418773651123047,-0.8976826071739197,41.06766128540039,36.39214324951172,59542.64453125,682.0659790039062,0.8132577538490295,0.15608884394168854,0.32270848751068115,1.1634083986282349,8794.44921875,180.12782287597656,41.0421142578125,41.05553436279297,41.03434371948242,40.98882293701172,36.82783126831055,36.78950500488281,36.584800720214844,36.272891998291016,59378.9765625,59957.43359375,59412.76953125,60132.1953125,679.1251831054688,671.4990234375,676.7366943359375,671.8043823242188,0.7683890461921692,-0.632726788520813,-0.09087636321783066,-0.8915805816650391,39.243045806884766,32.22222137451172,41851.51171875,323.20416259765625,-0.3645049035549164,-1.6763440370559692,-11583.19921875,-239.63870239257812,39.308475494384766,39.451263427734375,39.325984954833984,39.67607879638672,32.87444305419922,32.687416076660156,32.81298065185547,32.42686080932617,41371.13671875,40980.42578125,40394.203125,40852.140625,326.1122131347656,318.4468688964844,316.3680725097656,319.7360534667969,0.7568939924240112,-0.6319998502731323,-0.09689809381961823,-0.9049894213676453,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20240520094006,40.03804016113281,34.92621612548828,51321.546875,522.5772221686846,-0.008204763755202293,-0.13840676844120026,1.3591617345809937,-0.5268375873565674,40.04506301879883,40.1959228515625,40.18252182006836,39.849937438964844,35.545082092285156,34.81513214111328,34.48779296875,35.12057876586914,51305.203125,51478.8359375,51694.4453125,51777.8203125,525.2277221679688,510.0813293457031,490.3439025878906,499.73089599609375,0.7566860318183899,-0.650612473487854,-0.8504256010055542,-0.4457744359970093,40.7885627746582,36.9776725769043,61468.859375,736.4368896484375,0.8415350914001465,0.15714862942695618,0.33418357372283936,1.1660102605819702,9723.4111328125,200.0295867919922,40.857303619384766,40.86165237426758,40.82264709472656,40.62880325317383,37.20431900024414,37.21879577636719,37.11424255371094,36.765804290771484,61394.9921875,61833.80078125,61467.50390625,62097.25,739.4948120117188,724.177734375,720.5679321289062,727.4798583984375,0.7711867094039917,-0.6428346633911133,-0.8437408208847046,-0.43614059686660767,38.99022674560547,32.78955078125,43054.62890625,343.0837707519531,-0.37849918007850647,-1.6799345016479492,-12510.3916015625,-262.5641174316406,38.9468994140625,39.20512390136719,39.10431671142578,39.37133026123047,33.44207763671875,33.057498931884766,33.12579345703125,32.89060592651367,42580.625,41945.16015625,41632.45703125,42017.4609375,347.2377014160156,330.3301696777344,336.1044616699219,339.6141357421875,0.7675405740737915,-0.6482932567596436,-0.852605402469635,-0.4450418949127197,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20240520095006,39.69961166381836,35.05551528930664,52370.01171875,538.8491459057877,0.003450971795246005,-0.13955506682395935,105.2057113647461,0.42060667276382446,39.742271423339844,39.98466110229492,39.971187591552734,39.54037094116211,35.864662170410156,35.21599197387695,34.918861389160156,35.49495315551758,52256.84375,52552.11328125,52903.49609375,52928.93359375,540.6193237304688,533.0368041992188,512.8677978515625,518.5335693359375,0.72971111536026,-0.6838902235031128,-0.8041945695877075,0.41146719455718994,40.55632400512695,37.415557861328125,63419.9140625,773.461181640625,0.884504497051239,0.16453050076961517,0.35599562525749207,1.1790858507156372,10594.9912109375,233.07424926757812,40.61378860473633,40.70658493041992,40.6202392578125,40.39164733886719,37.75347900390625,37.81087875366211,37.507286071777344,37.34903335571289,63400.45703125,63671.39453125,62992.2578125,64003.359375,779.5010986328125,760.3449096679688,760.5614013671875,762.7586059570312,0.7503054738044739,-0.6747596263885498,-0.796096920967102,0.4210885763168335,38.780277252197266,33.271663665771484,43637.58984375,350.2986755371094,-0.37586140632629395,-1.64226496219635,-12014.13671875,-268.9801330566406,38.731082916259766,38.8740119934082,38.76280975341797,39.08356857299805,33.88132095336914,33.33998107910156,33.58706283569336,33.12135314941406,43535.45703125,42547.25390625,42216.796875,42618.421875,348.3775939941406,339.7392578125,341.8108215332031,348.53363037109375,0.7500635981559753,-0.6799690127372742,-0.8076940774917603,0.4047069549560547,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20240520100006,39.5239372253418,35.81061935424805,53835.62109375,582.2053786780061,0.013391236774623394,-0.11428164690732956,41.52154541015625,0.2631247043609619,39.608551025390625,39.74831771850586,39.78652572631836,39.44858169555664,36.65260314941406,35.74732971191406,35.2004508972168,35.97883605957031,54183.64453125,54646.04296875,54566.45703125,55197.52734375,584.52587890625,585.2330932617188,566.644287109375,566.1488647460938,0.5391149520874023,-0.7607669830322266,0.0063513279892504215,0.8471969366073608,40.46124267578125,37.987693786621094,65252.5546875,831.1083374023438,0.9145388603210449,0.18663440644741058,0.3662298619747162,1.1966991424560547,10943.552734375,245.99465942382812,40.43147659301758,40.47053909301758,40.473880767822266,40.17644119262695,38.236289978027344,38.11262893676758,37.89150619506836,37.83910369873047,65433.74609375,65833.625,65135.2109375,65926.25,835.877197265625,819.9276733398438,809.2062377929688,819.5843505859375,0.5456419587135315,-0.755728006362915,0.010892464779317379,0.857394814491272,38.58903884887695,33.972984313964844,45293.40234375,384.9219970703125,-0.38554704189300537,-1.5925018787384033,-12131.6279296875,-275.4125671386719,38.4360466003418,38.69317626953125,38.58380889892578,38.936187744140625,34.73352813720703,34.066349029541016,34.19923782348633,33.974300384521484,45152.7109375,43923.38671875,43792.671875,44326.0,379.39288330078125,369.7432861328125,372.1688537597656,386.1781311035156,0.5482134819030762,-0.7574089169502258,0.004668391775339842,0.8498036861419678,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
20240520101006,39.32878875732422,36.750030517578125,53568.421875,591.0217991786207,0.008603112772107124,-0.11487089097499847,-30.256690979003906,-0.5771857500076294,39.388999938964844,39.41302490234375,39.4511604309082,39.24125289916992,37.411251068115234,36.539344787597656,36.307037353515625,36.8380241394043,53784.20703125,53993.94921875,54308.4921875,54482.8828125,594.0517578125,584.1378173828125,573.57763671875,565.3507690429688,0.5862055420875549,-0.7802881002426147,0.7451379299163818,0.36272871494293213,40.19313430786133,39.1480598449707,65066.01171875,835.5612182617188,0.9175416827201843,0.18606998026371002,0.36167699098587036,1.2494136095046997,10699.177734375,249.3755645751953,40.09428405761719,40.159629821777344,40.25217819213867,39.95994567871094,39.127079010009766,38.90603256225586,38.80156326293945,38.87150573730469,64731.9375,65342.3203125,65062.0546875,65876.8671875,839.3927612304688,826.704345703125,818.9324951171875,821.7392578125,0.5851420760154724,-0.77374267578125,0.7425466775894165,0.3687368631362915,38.42354965209961,34.8310661315918,44592.76171875,384.1613464355469,-0.38995587825775146,-1.601000189781189,-12454.0966796875,-286.3550109863281,38.2318115234375,38.47547912597656,38.35006332397461,38.7124137878418,35.454322814941406,34.880455017089844,35.41883087158203,35.02913284301758,44524.3359375,43078.4609375,42868.91796875,43343.19921875,370.1802978515625,366.4307556152344,372.7658386230469,381.7745666503906,0.5939512252807617,-0.773267388343811,0.7337228655815125,0.3591442108154297,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
20240520102006,39.151329040527344,37.246543884277344,52633.68359375,593.5909510517433,-0.007744942791759968,-0.10791045427322388,-107.35908508300781,-3.8157873153686523,39.27920150756836,39.28203201293945,39.34263229370117,39.10285949707031,37.956336975097656,37.043556213378906,36.817787170410156,37.336666107177734,52506.046875,52882.875,53290.3359375,53297.5703125,598.830322265625,595.3351440429688,573.1686401367188,572.1346435546875,0.5594708323478699,-0.7931556701660156,0.7251283526420593,-0.4944608807563782,40.02426528930664,39.43301010131836,64075.953125,834.9763793945312,0.9319849014282227,0.18678225576877594,0.34351515769958496,1.257677435874939,10133.5693359375,246.74209594726562,39.90201187133789,40.07700729370117,40.07563400268555,39.914894104003906,39.71316146850586,39.22766876220703,39.45634460449219,39.17826461791992,63711.109375,64516.89453125,64001.1015625,64584.67578125,845.2645263671875,837.8583984375,835.1118774414062,832.443603515625,0.5627880096435547,-0.7876096963882446,0.7232477068901062,-0.4847533106803894,38.29362106323242,35.498653411865234,43061.8203125,379.4009094238281,-0.4033236801624298,-1.6178710460662842,-13202.9306640625,-302.4595031738281,38.19269943237305,38.283111572265625,38.22835922241211,38.537784576416016,35.86391830444336,35.51340866088867,36.044830322265625,35.41328048706055,43464.46875,42075.31640625,42283.765625,42252.74609375,373.89361572265625,374.2138977050781,374.71563720703125,385.4332275390625,0.5746240615844727,-0.7863578796386719,0.7084516286849976,-0.50557941198349,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
20240520103006,39.00920486450195,37.61997604370117,51531.00390625,613.0462404596799,-0.01723536103963852,-0.09012032300233841,-95.05946350097656,-3.021872043609619,39.16299057006836,39.2406120300293,39.20592498779297,38.947566986083984,38.23611831665039,37.32380294799805,37.23515319824219,37.8123779296875,51386.078125,52088.14453125,52092.25,52379.234375,619.1832885742188,611.0465087890625,586.85791015625,593.6444091796875,0.568379819393158,-0.7959866523742676,-0.05363786593079567,-0.9055149555206299,39.81024932861328,39.70756912231445,63189.59375,861.2769165039062,0.9816843867301941,0.18349485099315643,0.3355790376663208,1.2305936813354492,9925.4609375,252.82469177246094,39.732696533203125,39.751220703125,39.78657150268555,39.7886962890625,39.99187469482422,39.5916633605957,39.79194641113281,39.5408935546875,62391.8125,63639.6328125,63104.30859375,63289.890625,862.091796875,868.2916870117188,867.776123046875,859.916748046875,0.5737882256507874,-0.7930946946144104,-0.058506473898887634,-0.8949253559112549,38.046531677246094,35.472965240478516,42018.65625,390.0608825683594,-0.4121575355529785,-1.5993860960006714,-13469.3232421875,-308.79730224609375,38.07073974609375,38.042850494384766,38.0505256652832,38.453800201416016,36.147117614746094,35.803916931152344,36.5126838684082,35.69123458862305,42329.078125,41501.34375,41065.48828125,41237.84765625,391.8493347167969,390.98944091796875,385.63690185546875,395.0439758300781,0.5796892642974854,-0.7904038429260254,-0.073269784450531,-0.917887806892395,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
