SeqNumber,Avg_Temperature(°C),Avg_Humidity(%),Avg_Sunlight(Lux),Max_Temperature(°C),Max_Humidity(%),Max_Sunlight(Lux),Max_Power(mW),Min_Temperature(°C),Min_Humidity(%),Min_Sunlight(Lux),Min_Power(mW),Avg_Lag_1_Temperature(°C),Avg_Lag_2_Temperature(°C),Avg_Lag_1_Humidity(%),Avg_Lag_2_Humidity(%),Avg_Lag_1_Sunlight(Lux),Avg_Lag_2_Sunlight(Lux),Avg_Lag_1_Power(mW),Avg_Lag_2_Power(mW),Max_Lag_1_Temperature(°C),Max_Lag_2_Temperature(°C),Max_Lag_1_Humidity(%),Max_Lag_2_Humidity(%),Max_Lag_1_Sunlight(Lux),Max_Lag_2_Sunlight(Lux),Max_Lag_1_Power(mW),Max_Lag_2_Power(mW),Min_Lag_1_Temperature(°C),Min_Lag_2_Temperature(°C),Min_Lag_1_Humidity(%),Min_Lag_2_Humidity(%),Min_Lag_1_Sunlight(Lux),Min_Lag_2_Sunlight(Lux),Min_Lag_1_Power(mW),Min_Lag_2_Power(mW),MA6_Temperature(°C),MA6_Max_Temperature(°C),MA6_Min_Temperature(°C),MA6_Humidity(%),MA6_Max_Humidity(%),MA6_Min_Humidity(%),MA6_Sunlight(Lux),MA6_Max_Sunlight(Lux),MA6_Min_Sunlight(Lux),MA6_Power(mW),MA6_Max_Power(mW),MA6_Min_Power(mW),Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Day_8,Day_9,Day_10,Day_11,Day_12,Day_13,Day_14,Day_15,Day_16,Day_17,Day_18,Day_19,Day_20,Day_21,Day_22,Day_23,Day_24,Day_25,Day_26,Day_27,Day_28,Day_29,Day_30,Day_31,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Minute_0,Minute_10,Minute_20,Minute_30,Minute_40,Minute_50,Avg_Power(mW)
20240124090008,14.75275993347168,67.53211212158203,142.79092407226562,14.880990982055664,67.8477554321289,43.32999801635742,0.0,14.861148834228516,67.45719146728516,486.1773376464844,0.0,14.917194366455078,14.7971773147583,67.61405944824219,67.76145935058594,344.74432373046875,22.5,0.0,0.0,14.79913330078125,14.812005996704102,68.27515411376953,67.85714721679688,20.0,22.5,0.0,0.0,14.75869369506836,14.722780227661133,67.24422454833984,67.1333236694336,1547.8671875,2032.7615966796875,0.0,0.0,14.769244194030762,14.705434799194336,14.675511360168457,68.52104949951172,68.68997192382812,68.19822692871094,2403.581298828125,851.7884521484375,2184.068359375,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
20240124091008,14.663074493408203,68.11396789550781,33.92000198364258,14.743263244628906,68.3409194946289,43.32999801635742,0.0,14.775495529174805,67.95697021484375,91.95468139648438,0.0,14.791131973266602,14.697952270507812,68.1219711303711,68.19290161132812,20.0,22.5,0.0,0.0,14.710786819458008,14.713513374328613,68.76509857177734,68.40388488769531,20.0,22.5,0.0,0.0,14.654706001281738,14.633759498596191,67.70641326904297,67.66556549072266,1084.5128173828125,1281.4683837890625,0.0,0.0,14.688624382019043,14.586800575256348,14.609539031982422,68.9212646484375,69.18339538574219,68.77899932861328,2123.0400390625,353.2746276855469,1968.50927734375,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
20240124092008,14.582192420959473,68.32627868652344,33.92000198364258,14.60793685913086,68.52625274658203,43.32999801635742,0.0,14.705286979675293,68.21031188964844,20.0,0.0,14.722700119018555,14.614568710327148,68.3136978149414,68.34331512451172,20.0,22.5,0.0,0.0,14.598174095153809,14.605341911315918,68.90849304199219,68.5284194946289,20.0,22.5,0.0,0.0,14.605257034301758,14.551648139953613,67.9627685546875,67.84257507324219,282.0223693847656,272.6672668457031,0.0,0.0,14.697693824768066,14.571121215820312,14.641067504882812,68.93849182128906,69.1562271118164,68.8842544555664,1699.377685546875,98.75,1808.3040771484375,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
20240124093008,14.6322021484375,68.71935272216797,33.92000198364258,14.624176025390625,68.81581115722656,43.32999801635742,0.0,14.762166976928711,68.61273193359375,20.0,0.0,14.766446113586426,14.666645050048828,68.73114013671875,68.64238739013672,20.0,22.5,0.0,0.0,14.610148429870605,14.6283540725708,69.20802307128906,68.70286560058594,20.0,22.5,0.0,0.0,14.67267894744873,14.619185447692871,68.3418197631836,68.25326538085938,20.0,20.0,0.0,0.0,14.796429634094238,14.672009468078613,14.76076602935791,69.02265167236328,69.27130126953125,69.04517364501953,1279.91650390625,98.75,1723.797607421875,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
20240124094008,14.84113597869873,68.6876220703125,33.92000198364258,14.797197341918945,68.7768325805664,43.32999801635742,0.0,14.97497844696045,68.69111633300781,20.0,0.0,14.942249298095703,14.87741756439209,68.84099578857422,68.61164093017578,20.0,22.5,0.0,0.0,14.814521789550781,14.823665618896484,69.21949768066406,68.59716796875,20.0,22.5,0.0,0.0,14.900592803955078,14.815970420837402,68.45132446289062,68.216552734375,124.24681854248047,135.45591735839844,0.0,0.0,15.012258529663086,14.873075485229492,14.970820426940918,68.95388793945312,69.10055541992188,69.0035629272461,1495.771484375,98.75,1979.5986328125,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7372299147502019
20240124095008,14.842691421508789,68.93995666503906,33.92000198364258,14.806675910949707,68.99250793457031,43.32999801635742,0.0,14.98579216003418,68.92375946044922,20.0,0.0,14.936613082885742,14.90560245513916,69.12864685058594,68.8584213256836,20.0,22.5,0.0,0.0,14.825169563293457,14.832952499389648,69.36666107177734,68.78396606445312,20.0,22.5,0.0,0.0,14.914073944091797,14.848329544067383,68.68797302246094,68.44245147705078,20.0,225.91287231445312,0.0,0.0,15.03293514251709,14.877774238586426,15.005898475646973,69.14043426513672,69.29217529296875,69.26417541503906,1610.34228515625,98.75,2133.54296875,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6738464199397072
20240124100008,14.856678009033203,68.79442596435547,33.92000198364258,14.824923515319824,68.79975128173828,43.32999801635742,0.0,15.007813453674316,68.80242156982422,20.0,0.0,14.970779418945312,14.951865196228027,68.97759246826172,68.70259857177734,20.0,22.5,0.0,0.0,14.831130027770996,14.857828140258789,69.24633026123047,68.5208969116211,20.0,22.5,0.0,0.0,14.946295738220215,14.88888931274414,68.60128784179688,68.32698822021484,20.0,20.0,0.0,0.0,15.124150276184082,14.958844184875488,15.10103702545166,68.9094009399414,69.02658081054688,69.06348419189453,1311.604736328125,98.75,1962.9176025390625,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.9315162500872418
20240124101008,14.735174179077148,70.53214263916016,33.92000198364258,14.687723159790039,70.38634490966797,43.32999801635742,0.0,14.917332649230957,70.46945190429688,20.0,0.0,14.82093620300293,14.80940055847168,70.52827453613281,70.3113784790039,20.0,22.5,0.0,0.0,14.701961517333984,14.716887474060059,70.86111450195312,70.17301177978516,20.0,22.5,0.0,0.0,14.813735008239746,14.780946731567383,70.15437316894531,70.08443450927734,20.0,20.0,0.0,0.0,15.034964561462402,14.834229469299316,15.035507202148438,70.26168060302734,70.43161010742188,70.54882049560547,466.170166015625,98.75,1319.70361328125,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9986637059500367
20240124102008,14.698376655578613,71.44384765625,33.92000198364258,14.649520874023438,71.26754760742188,43.32999801635742,0.0,14.896748542785645,71.3537826538086,20.0,0.0,14.799259185791016,14.718738555908203,71.2743911743164,71.18597412109375,20.0,22.5,0.0,0.0,14.639793395996094,14.652804374694824,71.69463348388672,71.07364654541016,20.0,22.5,0.0,0.0,14.768119812011719,14.716991424560547,70.97689056396484,71.01322174072266,20.0,20.0,0.0,0.0,15.012370109558105,14.803778648376465,15.041831970214844,71.04840087890625,71.1271743774414,71.28020477294922,86.67000579833984,98.75,880.2177124023438,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.649451961723372
20240124103008,14.841405868530273,72.37113952636719,33.92000198364258,14.811890602111816,72.1364974975586,43.32999801635742,0.0,15.03313159942627,72.22005462646484,20.0,0.0,14.936843872070312,14.812674522399902,72.127197265625,72.0467758178711,20.0,22.5,0.0,0.0,14.752156257629395,14.78233528137207,72.54106140136719,71.94793701171875,20.0,22.5,0.0,0.0,14.874669075012207,14.834961891174316,71.76637268066406,72.01753234863281,20.0,20.0,0.0,0.0,15.093181610107422,14.915496826171875,15.148384094238281,71.84481048583984,71.931640625,72.01148223876953,86.67000579833984,98.75,606.0618896484375,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
