SeqNumber,Avg_Temperature(°C),Avg_Humidity(%),Avg_Sunlight(Lux),Max_Temperature(°C),Max_Humidity(%),Max_Sunlight(Lux),Max_Power(mW),Min_Temperature(°C),Min_Humidity(%),Min_Sunlight(Lux),Min_Power(mW),Avg_Lag_1_Temperature(°C),Avg_Lag_2_Temperature(°C),Avg_Lag_1_Humidity(%),Avg_Lag_2_Humidity(%),Avg_Lag_1_Sunlight(Lux),Avg_Lag_2_Sunlight(Lux),Avg_Lag_1_Power(mW),Avg_Lag_2_Power(mW),Max_Lag_1_Temperature(°C),Max_Lag_2_Temperature(°C),Max_Lag_1_Humidity(%),Max_Lag_2_Humidity(%),Max_Lag_1_Sunlight(Lux),Max_Lag_2_Sunlight(Lux),Max_Lag_1_Power(mW),Max_Lag_2_Power(mW),Min_Lag_1_Temperature(°C),Min_Lag_2_Temperature(°C),Min_Lag_1_Humidity(%),Min_Lag_2_Humidity(%),Min_Lag_1_Sunlight(Lux),Min_Lag_2_Sunlight(Lux),Min_Lag_1_Power(mW),Min_Lag_2_Power(mW),MA6_Temperature(°C),MA6_Max_Temperature(°C),MA6_Min_Temperature(°C),MA6_Humidity(%),MA6_Max_Humidity(%),MA6_Min_Humidity(%),MA6_Sunlight(Lux),MA6_Max_Sunlight(Lux),MA6_Min_Sunlight(Lux),MA6_Power(mW),MA6_Max_Power(mW),MA6_Min_Power(mW),Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Day_8,Day_9,Day_10,Day_11,Day_12,Day_13,Day_14,Day_15,Day_16,Day_17,Day_18,Day_19,Day_20,Day_21,Day_22,Day_23,Day_24,Day_25,Day_26,Day_27,Day_28,Day_29,Day_30,Day_31,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Minute_0,Minute_10,Minute_20,Minute_30,Minute_40,Minute_50,Avg_Power(mW)
20240514165006,25.6,63.3,5998.0,25.74,63.69,6390.0,10.0,25.15,62.96,5389.17,6.17,25.59,25.61,63.26,63.23,6012.78,5995.62,8.47,8.38,25.74,25.74,63.46,63.45,6390.0,6390.0,10.0,10.0,25.15,25.15,62.96,62.96,5389.17,5389.17,6.17,6.17,25.6,25.74,25.15,63.3,63.69,62.96,5998.0,6390.0,5389.17,8.47,10.0,6.17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,
20240514170006,25.36,64.63,4886.33,25.73,65.98,5415.83,6.85,25.16,63.59,4335.83,4.14,25.4,25.41,64.4,64.19,5039.25,5188.42,6.06,6.51,25.73,25.73,65.56,65.19,5865.0,6150.0,8.43,9.2,25.16,25.16,63.59,63.46,4658.33,4661.67,4.7,5.22,25.48,25.74,25.16,63.96,64.84,63.28,5442.16,5902.92,4862.5,7.05,8.43,5.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,
20240515070006,39.43,31.48,15279.42,39.88,33.01,16084.17,54.04,38.98,30.37,14495.83,39.48,39.42,39.39,31.56,31.73,15132.92,15026.42,44.19,43.44,39.88,39.88,33.01,33.2,15578.33,15578.33,49.24,49.24,38.87,38.77,30.37,30.37,14495.83,14358.33,38.51,37.7,34.93,36.29,33.59,44.04,47.53,40.2,12142.24,13038.75,11274.44,25.97,30.7,22.02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
20240515071006,38.09,33.33,16343.5,38.9,35.12,17780.83,69.11,37.29,31.61,15512.5,39.65,38.26,38.41,33.02,32.73,16185.75,16140.33,49.64,50.19,38.98,39.0,34.33,34.08,17780.83,17780.83,69.11,69.11,37.48,37.68,31.61,31.47,15512.5,15423.33,39.65,41.11,36.78,37.83,35.66,38.34,40.91,35.8,13255.92,14195.56,12606.25,31.38,38.49,26.89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
20240515072006,38.09,33.33,28970.75,38.88,35.41,38755.0,107.67,37.1,30.73,20475.83,42.09,37.93,37.8,33.77,34.02,27156.92,25386.33,80.07,75.11,38.76,38.71,35.41,35.41,38755.0,38755.0,107.67,107.67,37.1,37.1,31.84,32.11,17661.67,15877.5,42.09,39.65,37.75,38.62,36.8,35.36,37.46,33.27,16246.46,18697.22,14215.97,42.07,52.79,30.83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
20240515073006,39.55,29.91,40715.9,40.74,31.52,50813.82,211.3,38.97,28.25,36079.16,101.14,39.36,39.22,30.16,30.48,39214.52,38113.9,123.12,115.42,40.19,39.71,31.52,31.84,44589.45,41806.09,166.22,145.15,38.88,38.76,28.63,29.42,35800.0,33583.33,99.06,89.23,38.32,39.14,37.54,33.53,35.28,31.8,21006.08,25109.94,18275.42,60.95,84.42,44.36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
20240515074006,42.47,25.06,51339.95,43.37,27.96,57712.03,313.44,41.41,23.72,44549.92,189.34,42.2,41.92,25.51,25.93,50794.06,49481.8,232.1,217.38,43.09,42.66,28.25,28.63,57712.03,53059.92,313.44,264.43,40.74,40.19,24.31,24.31,44549.92,44549.92,189.34,166.22,39.27,40.11,38.4,31.38,33.48,29.59,27704.1,32627.5,23965.4,98.07,132.34,73.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
20240515075006,42.8,24.05,44240.87,43.96,24.79,58606.87,343.86,41.83,22.99,27344.84,89.69,42.9,42.99,23.98,23.97,44007.46,43979.96,204.78,202.93,43.96,43.96,24.79,24.79,57986.95,57712.03,331.92,313.44,41.83,41.83,22.99,22.99,27344.84,27344.84,89.69,89.69,40.07,40.96,39.26,29.53,31.3,27.95,32815.06,39958.79,26409.68,127.41,183.24,83.56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
20240515080006,42.9,23.51,55024.8,43.45,24.39,61848.43,384.75,42.46,22.48,50520.93,265.34,42.8,42.66,23.61,23.82,55833.4,56349.1,319.21,323.52,43.45,43.19,24.39,24.55,61848.43,61848.43,384.75,384.75,42.4,42.15,22.48,23.02,51117.5,51117.5,268.74,268.74,40.65,41.55,39.84,28.2,29.86,26.63,39439.3,47586.16,32413.86,171.68,238.36,121.21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
20240515081006,43.43,22.12,61199.04,43.87,22.84,66358.59,458.41,42.95,21.04,54249.45,306.18,43.43,43.4,22.29,22.42,59840.42,58487.56,374.43,357.47,43.87,43.87,23.39,23.39,66358.59,63713.59,458.41,420.89,42.95,42.95,21.04,21.04,50520.93,50520.93,265.34,265.34,41.54,42.38,40.79,26.33,27.82,24.87,46915.22,55682.46,38870.02,228.44,303.24,165.63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
20240515082006,44.29,21.38,69080.68,45.13,22.89,71355.7,545.88,43.23,20.03,67102.5,471.14,44.15,44.02,21.48,21.59,68781.14,68323.84,503.2,494.45,45.13,45.13,22.89,22.89,71355.7,71355.7,545.88,545.88,43.23,43.23,20.03,20.03,64107.11,64107.11,428.39,428.39,42.57,43.42,41.81,24.34,25.73,23.08,53600.21,61115.91,46641.13,299.33,376.27,237.14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
20240515083006,45.34,19.65,75512.77,45.73,20.14,80456.88,695.69,45.13,18.59,70009.84,535.68,45.26,45.21,19.7,19.7,74177.34,73332.45,597.52,584.73,45.54,45.47,20.58,20.58,79380.55,77382.42,673.73,645.59,44.95,44.95,18.59,18.59,67102.5,67102.5,490.36,490.36,43.54,44.25,42.84,22.63,23.83,21.48,59399.68,66056.42,52296.25,379.95,457.0,309.56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
20240515084006,46.7,17.93,82983.28,47.03,19.48,84925.7,796.05,46.12,17.32,81281.64,707.99,46.64,46.55,18.17,18.39,82536.4,82220.87,741.34,733.38,47.03,47.03,20.12,20.12,83822.42,83822.42,773.06,773.06,45.73,45.54,17.32,17.32,80456.88,79380.55,695.69,673.73,44.24,44.86,43.62,21.44,22.42,20.41,64673.57,70592.03,58418.2,464.93,537.44,396.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
20240515085006,45.94,18.16,86003.83,46.28,18.75,89047.73,857.99,45.71,17.62,80658.13,107.2,45.99,46.05,18.11,18.1,85682.19,85215.18,800.89,793.63,46.32,46.46,18.75,18.75,89047.73,89047.73,857.99,857.99,45.71,45.71,17.62,17.62,80658.13,80658.13,712.35,712.35,44.77,45.25,44.27,20.46,21.42,19.51,71634.07,75665.5,67303.75,552.16,623.13,398.92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
