Year,Month,Day,Hour,Minute,Avg_WindSpeed(m/s),Avg_Pressure(hpa),Avg_Temperature(°C),Avg_Humidity(%),Avg_Sunlight(Lux),Avg_Power(mW),Max_WindSpeed(m/s),Max_Pressure(hpa),Max_Temperature(°C),Max_Humidity(%),Max_Sunlight(Lux),Max_Power(mW),Min_WindSpeed(m/s),Min_Pressure(hpa),Min_Temperature(°C),Min_Humidity(%),Min_Sunlight(Lux),Min_Power(mW),Med_WindSpeed(m/s),Med_Pressure(hpa),Med_Temperature(°C),Med_Humidity(%),Med_Sunlight(Lux),Med_Power(mW)
2024,1,1,6,30,0.0,1016.54,17.5,86.78,50.09,0.0,0.0,1016.59,17.5,86.9,86.67,0.01,0.0,1016.5,17.5,86.7,25.0,0.0,0.0,1016.54,17.5,86.8,45.83,0.0
2024,1,1,6,40,0.0,1016.59,17.49,86.8,163.25,0.02,0.0,1016.65,17.5,86.9,235.0,0.03,0.0,1016.51,17.4,86.7,100.83,0.0,0.0,1016.6,17.5,86.8,157.92,0.02
2024,1,1,6,50,0.0,1016.66,17.5,86.95,326.83,0.05,0.0,1016.7,17.5,87.1,400.0,0.07,0.0,1016.63,17.5,86.9,251.67,0.03,0.0,1016.66,17.5,86.9,321.25,0.04
2024,1,1,7,00,0.0,1016.73,17.5,86.99,470.83,0.08,0.0,1016.76,17.5,87.0,537.5,0.1,0.0,1016.69,17.5,86.9,415.83,0.07,0.0,1016.74,17.5,87.0,469.58,0.08
2024,1,1,7,10,0.0,1016.77,17.57,86.97,659.67,0.14,0.0,1016.85,17.6,87.2,784.17,0.19,0.0,1016.72,17.5,86.5,570.83,0.1,0.0,1016.76,17.6,87.1,621.66,0.13
2024,1,1,7,20,0.68,1016.92,17.63,86.18,889.67,0.25,3.46,1016.99,17.7,86.7,928.33,0.27,0.0,1016.78,17.6,85.6,813.33,0.21,0.0,1016.95,17.6,86.4,892.5,0.26
2024,1,1,7,30,0.61,1016.99,17.74,85.41,1263.83,0.45,3.07,1017.03,17.8,85.7,1667.5,0.73,0.0,1016.95,17.7,85.2,939.17,0.28,0.0,1016.98,17.7,85.4,1257.08,0.42
2024,1,1,7,40,0.0,1017.09,17.9,85.41,2136.83,1.13,0.0,1017.2,18.0,85.5,2589.17,1.64,0.0,1016.96,17.8,85.3,1768.33,0.76,0.0,1017.1,17.9,85.4,2110.0,1.09
2024,1,1,7,50,0.0,1017.27,18.13,85.19,2598.0,1.6,0.0,1017.31,18.2,85.5,2729.17,1.74,0.0,1017.24,18.0,85.0,2507.5,1.43,0.0,1017.27,18.1,85.15,2560.0,1.62
2024,1,1,8,00,0.0,1017.42,18.29,84.38,2160.17,1.18,0.0,1017.5,18.3,85.0,2512.5,1.5,0.0,1017.33,18.2,82.9,1928.33,0.93,0.0,1017.43,18.3,84.85,2132.92,1.16
