SeqNumber,Device_ID,Year,Month,Day,Hour,Minute,Avg_WindSpeed(m/s),Avg_Pressure(hpa),Avg_Temperature(°C),Avg_Humidity(%),Avg_Sunlight(Lux),Avg_Power(mW),Min_WindSpeed(m/s),Min_Pressure(hpa),Min_Temperature(°C),Min_Humidity(%),Min_Sunlight(Lux),Min_Power(mW),Max_WindSpeed(m/s),Max_Pressure(hpa),Max_Temperature(°C),Max_Humidity(%),Max_Sunlight(Lux),Max_Power(mW)
20240301171010,10,2024,3,1,17,10,0.12,1017.49,15.71,93.77,652.8,0.12,0.0,1017.46,15.59,92.41,502.5,0.07,0.87,1017.53,15.8,94.3,750.0,0.14
20240301172010,10,2024,3,1,17,20,0.31,1017.45,15.71,94.01,455.33,0.06,0.0,1017.4,15.65,92.9,347.5,0.05,1.13,1017.55,15.77,94.44,482.5,0.07
20240301173010,10,2024,3,1,17,30,0.05,1017.51,15.63,94.48,290.92,0.02,0.0,1017.44,15.54,93.89,219.17,0.01,0.35,1017.61,15.71,94.66,389.17,0.03
20240301174010,10,2024,3,1,17,40,0.23,1017.54,15.65,95.08,167.0,0.01,0.0,1017.45,15.59,94.73,118.33,0.0,0.96,1017.66,15.72,95.44,230.83,0.02
20240301175010,10,2024,3,1,17,50,0.02,1017.62,15.66,95.62,73.33,0.0,0.0,1017.56,15.62,95.39,50.83,0.0,0.17,1017.69,15.68,95.8,110.0,0.01
20240301180010,10,2024,3,1,18,00,0.0,1017.68,15.65,95.84,29.67,0.0,0.0,1017.61,15.64,95.82,21.67,0.0,0.0,1017.74,15.66,95.89,42.5,0.0
20240302060010,10,2024,3,2,6,00,0.0,1020.09,14.19,94.35,30.21,0.0,0.0,1020.07,14.18,94.27,22.5,0.0,0.0,1020.13,14.19,94.42,35.83,0.0
20240302061010,10,2024,3,2,6,10,0.5,1020.08,14.24,93.1,79.42,0.0,0.0,1019.98,14.2,91.89,37.5,0.0,1.65,1020.15,14.26,94.48,107.5,0.01
20240302062010,10,2024,3,2,6,20,0.76,1020.25,14.25,91.85,151.0,0.02,0.0,1020.14,14.16,91.05,112.5,0.01,2.0,1020.41,14.31,92.66,175.83,0.02
20240302063010,10,2024,3,2,6,30,0.1,1020.25,14.13,93.13,429.92,0.07,0.0,1020.18,14.11,92.61,192.5,0.02,0.78,1020.33,14.16,93.42,579.17,0.12
20240302064010,10,2024,3,2,6,40,0.49,1020.22,14.22,93.99,924.33,0.23,0.0,1020.18,14.12,93.43,623.33,0.12,1.31,1020.27,14.29,94.29,1339.17,0.43
20240302065010,10,2024,3,2,6,50,0.19,1020.31,14.34,94.12,1712.92,0.7,0.0,1020.19,14.31,93.86,1350.0,0.46,0.7,1020.48,14.36,94.29,2320.83,1.09
20240302070010,10,2024,3,2,7,00,0.26,1020.5,14.54,94.36,2717.0,1.66,0.0,1020.33,14.36,94.1,2270.83,1.1,1.13,1020.72,14.7,94.53,3054.17,2.1
20240302071010,10,2024,3,2,7,10,1.06,1020.26,14.63,94.02,3511.75,2.82,0.0,1020.16,14.59,93.39,2410.83,1.27,1.92,1020.33,14.7,94.65,4800.83,4.94
20240302072010,10,2024,3,2,7,20,0.45,1020.5,14.53,95.1,1607.33,0.58,0.0,1020.27,14.49,94.65,1131.67,0.3,1.39,1020.6,14.6,95.72,2281.67,1.09
20240302073010,10,2024,3,2,7,30,0.0,1020.49,14.52,96.08,1734.92,0.63,0.0,1020.37,14.48,95.81,1159.17,0.3,0.0,1020.63,14.55,96.23,2285.0,1.08
20240302074010,10,2024,3,2,7,40,0.13,1020.61,14.77,96.68,4238.92,3.78,0.0,1020.42,14.5,96.2,2945.83,1.65,0.52,1020.85,14.91,96.9,5715.0,6.41
20240302075010,10,2024,3,2,7,50,0.34,1020.78,14.72,97.03,2838.75,1.63,0.0,1020.64,14.6,96.85,2570.83,1.34,1.05,1020.88,14.83,97.19,3466.67,2.18
20240302080010,10,2024,3,2,8,00,0.15,1020.65,14.77,96.86,6213.92,8.33,0.0,1020.56,14.61,96.76,3301.67,2.18,0.52,1020.71,15.19,96.96,9897.5,18.48
20240302081010,10,2024,3,2,8,10,0.11,1020.64,15.78,95.55,12269.0,29.31,0.0,1020.6,15.31,94.54,10275.83,20.29,0.52,1020.7,16.24,96.76,13428.33,34.24
20240302082010,10,2024,3,2,8,20,0.11,1020.58,16.58,93.8,13612.17,38.47,0.0,1020.5,16.1,91.93,9415.0,17.78,1.05,1020.65,17.26,95.13,16953.33,58.65
20240302083010,10,2024,3,2,8,30,0.0,1020.66,16.85,93.16,10517.67,21.35,0.0,1020.52,16.4,92.11,8860.83,14.9,0.0,1020.74,17.36,94.09,12844.17,31.41
20240302084010,10,2024,3,2,8,40,0.05,1020.78,16.05,94.67,6629.92,8.39,0.0,1020.74,15.76,93.51,4384.17,3.53,0.17,1020.82,16.32,95.25,8922.5,14.83
20240302085010,10,2024,3,2,8,50,0.03,1020.74,15.47,95.67,5106.17,4.92,0.0,1020.54,15.33,95.28,3719.17,2.49,0.35,1020.85,15.65,95.92,8421.67,11.69
20240302090010,10,2024,3,2,9,00,0.64,1020.56,16.51,92.91,19133.0,121.96,0.0,1020.52,15.66,83.92,7957.5,10.44,2.18,1020.68,19.73,95.56,45529.22,422.83
20240302091010,10,2024,3,2,9,10,1.09,1020.4,21.67,75.69,40267.29,319.77,0.44,1020.3,20.42,71.02,32874.16,199.94,2.09,1020.48,22.52,82.78,51094.14,524.41
20240302092010,10,2024,3,2,9,20,1.23,1020.38,20.81,75.19,28759.28,151.91,0.0,1020.32,19.2,69.01,24332.5,99.84,2.35,1020.46,22.53,82.42,44508.59,375.58
20240302093010,10,2024,3,2,9,30,1.22,1020.44,19.35,79.48,20021.5,68.62,0.0,1020.39,18.63,77.69,16765.0,46.82,2.87,1020.5,19.9,82.97,24400.83,99.47
20240302094010,10,2024,3,2,9,40,1.1,1020.4,18.26,78.84,15427.33,40.48,0.0,1020.26,18.11,76.49,12032.5,24.34,1.83,1020.57,18.4,81.22,18345.83,57.06
20240302095010,10,2024,3,2,9,50,0.84,1020.36,18.57,80.1,18208.58,54.19,0.17,1020.3,18.13,76.84,12872.5,28.7,1.57,1020.43,18.84,82.51,21599.17,73.25
20240302100010,10,2024,3,2,10,00,0.64,1020.25,18.51,79.01,16047.42,45.49,0.0,1020.18,18.22,76.73,11415.83,22.49,1.74,1020.36,18.98,81.46,22498.33,83.09
