SeqNumber,Device_ID,Year,Month,Day,Hour,Minute,Avg_WindSpeed(m/s),Avg_Pressure(hpa),Avg_Temperature(°C),Avg_Humidity(%),Avg_Sunlight(Lux),Avg_Power(mW),Min_WindSpeed(m/s),Min_Pressure(hpa),Min_Temperature(°C),Min_Humidity(%),Min_Sunlight(Lux),Min_Power(mW),Max_WindSpeed(m/s),Max_Pressure(hpa),Max_Temperature(°C),Max_Humidity(%),Max_Sunlight(Lux),Max_Power(mW)
20240303122016,16,2024,3,3,12,20,1.17,1019.17,32.38,37.35,58352.63,888.26,0.0,1019.15,31.9,33.3,27306.25,599.35,2.53,1019.2,32.8,39.88,71246.09,1534.88
20240303123016,16,2024,3,3,12,30,2.16,1019.0,30.82,39.01,58168.08,610.77,1.05,1018.92,29.16,35.36,40724.38,267.75,3.22,1019.09,32.48,43.51,78018.52,1100.38
20240303124016,16,2024,3,3,12,40,1.74,1018.76,30.7,40.2,73162.28,1033.88,0.0,1018.55,28.7,36.29,41337.11,274.18,3.66,1018.95,33.0,43.67,114263.27,2119.78
20240303125016,16,2024,3,3,12,50,1.86,1018.43,30.92,39.02,50735.3,452.48,1.13,1018.33,29.53,35.57,40160.16,270.44,3.4,1018.53,32.99,42.62,71440.16,907.39
20240303130016,16,2024,3,3,13,00,1.52,1018.3,31.06,39.43,61489.24,674.02,1.05,1018.23,29.85,36.54,49735.7,415.48,2.09,1018.36,31.66,44.14,79448.83,1122.66
20240303131016,16,2024,3,3,13,10,2.08,1018.17,29.39,41.34,52029.41,500.13,1.05,1018.1,28.7,40.17,40000.23,261.23,3.57,1018.24,29.91,43.64,85218.59,1319.9
20240303132016,16,2024,3,3,13,20,2.13,1018.06,26.81,46.64,35562.88,212.07,1.22,1017.96,26.33,41.63,33801.66,192.0,3.48,1018.17,27.83,49.51,40622.5,274.97
20240303133016,16,2024,3,3,13,30,1.58,1017.93,26.6,47.47,33044.66,180.92,0.52,1017.88,26.23,45.65,30816.67,154.56,2.96,1017.98,26.99,49.29,36722.5,226.01
20240303134016,16,2024,3,3,13,40,1.66,1017.82,25.88,49.25,28176.42,131.18,0.7,1017.74,25.34,47.62,27335.83,124.14,2.87,1017.88,26.23,50.76,29674.17,143.63
20240303135016,16,2024,3,3,13,50,1.47,1017.77,25.49,50.63,29951.67,149.51,0.87,1017.73,25.17,49.28,28693.33,136.21,2.35,1017.81,25.87,51.55,32447.5,176.87
20240303140016,16,2024,3,3,14,00,2.21,1017.7,25.64,50.14,30485.67,155.79,0.52,1017.65,25.1,47.87,29149.17,141.59,3.92,1017.74,26.41,51.96,32622.5,179.2
20240303141016,16,2024,3,3,14,10,2.0,1017.63,25.26,50.97,29131.75,142.85,0.87,1017.57,24.86,50.11,27562.5,126.88,3.48,1017.68,25.64,52.19,29887.5,151.62
20240303142016,16,2024,3,3,14,20,1.8,1017.55,25.09,51.83,26531.92,118.66,0.78,1017.49,24.9,50.47,25763.33,112.03,2.7,1017.62,25.34,53.05,27525.0,126.88
20240303143016,16,2024,3,3,14,30,2.36,1017.47,24.4,53.57,23765.58,95.96,1.13,1017.43,23.96,51.77,20510.0,72.93,3.57,1017.5,24.73,55.95,25503.33,109.73
20240303144016,16,2024,3,3,14,40,1.44,1017.46,23.93,55.17,17020.5,50.75,0.61,1017.44,23.75,54.44,15728.33,42.94,2.35,1017.49,24.07,56.08,19440.0,66.67
20240303145016,16,2024,3,3,14,50,1.38,1017.48,23.8,55.88,19240.67,64.43,0.35,1017.44,23.59,54.49,17011.67,49.61,2.35,1017.54,24.17,57.13,21209.17,78.39
20240303150016,16,2024,3,3,15,00,1.72,1017.47,23.9,55.97,16979.08,50.48,0.96,1017.41,23.51,55.05,12410.83,26.5,2.26,1017.51,24.14,57.12,19301.67,65.34
20240303151016,16,2024,3,3,15,10,2.05,1017.46,22.89,59.27,9997.58,18.05,0.7,1017.42,22.33,57.32,8815.83,14.14,3.48,1017.49,23.42,62.01,12246.67,25.38
20240303152016,16,2024,3,3,15,20,1.18,1017.49,22.26,59.76,8680.25,13.74,0.26,1017.45,22.12,58.92,8236.67,12.45,2.18,1017.52,22.38,60.63,9268.33,15.47
20240303153016,16,2024,3,3,15,30,1.49,1017.41,22.25,60.69,7415.92,10.39,0.96,1017.37,22.1,59.53,7182.5,9.66,2.96,1017.46,22.3,61.88,8042.5,12.21
20240303154016,16,2024,3,3,15,40,1.55,1017.39,22.14,60.71,9780.67,17.09,0.78,1017.35,22.03,59.52,7832.5,11.56,2.7,1017.43,22.22,61.89,11384.17,22.14
20240303155016,16,2024,3,3,15,50,2.1,1017.32,22.15,61.34,11092.0,20.9,0.96,1017.26,22.08,60.53,10071.67,17.44,3.14,1017.37,22.27,62.89,11865.83,23.98
20240303160016,16,2024,3,3,16,00,1.95,1017.3,21.88,62.16,10042.83,17.12,0.96,1017.28,21.78,61.28,9510.0,15.54,3.14,1017.35,22.0,63.37,10966.67,21.16
20240303161016,16,2024,3,3,16,10,1.52,1017.32,22.05,62.09,10973.83,21.02,0.7,1017.29,21.82,60.63,10165.83,17.63,2.79,1017.39,22.24,64.5,11564.17,23.4
20240303162016,16,2024,3,3,16,20,1.85,1017.46,22.2,61.7,10889.17,21.69,1.22,1017.41,22.04,60.81,9840.83,16.64,2.79,1017.51,22.38,63.38,12372.5,27.83
20240303163016,16,2024,3,3,16,30,1.03,1017.53,22.39,61.24,9060.75,16.86,0.26,1017.49,22.27,60.58,8127.5,13.19,2.09,1017.56,22.55,62.71,9895.83,19.32
20240303164016,16,2024,3,3,16,40,1.12,1017.56,22.49,60.48,7899.83,12.96,0.52,1017.49,22.28,59.7,7075.83,10.06,2.0,1017.65,22.62,61.26,9475.0,19.19
20240303165016,16,2024,3,3,16,50,1.1,1017.65,22.16,61.98,6826.33,9.9,0.52,1017.61,22.06,61.05,5339.17,5.96,1.83,1017.68,22.28,63.02,7473.33,11.56
20240303170016,16,2024,3,3,17,00,1.38,1017.68,21.64,63.65,3493.75,2.32,0.44,1017.62,21.44,62.47,2898.33,1.53,2.61,1017.73,21.98,65.41,4546.67,4.34
20240303171016,16,2024,3,3,17,10,1.47,1017.69,21.19,65.17,3076.25,1.58,0.26,1017.65,21.11,64.34,2895.0,1.23,2.7,1017.73,21.38,66.66,3342.5,2.06
