序號,答案
20240117090001,164.38
20240117091001,207.08
20240117092001,249.12
20240117093001,303.69
20240117094001,372.28
20240117095001,431.02
20240117100001,487.01
20240117101001,492.97
20240117102001,509.7
20240117103001,528.76
20240117104001,551.57
20240117105001,562.14
20240117110001,582.5
20240117111001,597.61
20240117112001,590.65
20240117113001,589.25
20240117114001,591.45
20240117115001,576.16
20240117120001,567.74
20240117121001,534.52
20240117122001,526.37
20240117123001,529.02
20240117124001,526.04
20240117125001,503.5
20240117130001,496.75
20240117131001,447.28
20240117132001,403.62
20240117133001,377.69
20240117134001,351.33
20240117135001,305.44
20240117140001,276.29
20240117141001,237.26
20240117142001,212.1
20240117143001,195.19
20240117144001,175.85
20240117145001,143.55
20240117150001,129.92
20240117151001,104.03
20240117152001,84.21
20240117153001,74.2
20240117154001,65.77
20240117155001,47.54
20240117160001,47.41
20240117161001,27.57
20240117162001,13.59
20240117163001,13.2
20240117164001,16.08
20240117165001,7.36
20240119090001,234.47
20240119091001,272.17
20240119092001,309.91
20240119093001,352.97
20240119094001,398.91
20240119095001,429.29
20240119100001,457.88
20240119101001,452.65
20240119102001,460.51
20240119103001,465.88
20240119104001,469.66
20240119105001,460.23
20240119110001,461.96
20240119111001,473.25
20240119112001,465.73
20240119113001,459.27
20240119114001,452.52
20240119115001,428.71
20240119120001,412.81
20240119121001,387.72
20240119122001,386.44
20240119123001,391.01
20240119124001,386.09
20240119125001,360.88
20240119130001,350.93
20240119131001,317.96
20240119132001,290.61
20240119133001,274.7
20240119134001,253.06
20240119135001,210.66
20240119140001,183.24
20240119141001,157.43
20240119142001,144.08
20240119143001,132.75
20240119144001,113.8
20240119145001,81.97
20240119150001,68.33
20240119151001,57.59
20240119152001,49.78
20240119153001,45.97
20240119154001,39.09
20240119155001,22.83
20240119160001,24.46
20240119161001,16.22
20240119162001,12.79
20240119163001,17.76
20240119164001,20.02
20240119165001,8.73
20240224090001,86.91
20240224091001,133.29
20240224092001,176.06
20240224093001,222.19
20240224094001,281.21
