序號,答案
20240117090001,133.78
20240117091001,81.94
20240117092001,77.62
20240117093001,102.36
20240117094001,140.48
20240117095001,176.34
20240117100001,206.39
20240117101001,229.57
20240117102001,244.81
20240117103001,250.73
20240117104001,250.77
20240117105001,248.9
20240117110001,245.03
20240117111001,240.1
20240117112001,234.81
20240117113001,229.6
20240117114001,224.56
20240117115001,219.85
20240117120001,215.58
20240117121001,211.77
20240117122001,208.19
20240117123001,204.54
20240117124001,201.15
20240117125001,198.28
20240117130001,196.81
20240117131001,196.83
20240117132001,196.84
20240117133001,196.85
20240117134001,196.86
20240117135001,196.87
20240117140001,196.87
20240117141001,196.87
20240117142001,196.88
20240117143001,196.88
20240117144001,196.88
20240117145001,196.88
20240117150001,196.88
20240117151001,196.88
20240117152001,196.88
20240117153001,196.88
20240117154001,196.88
20240117155001,196.88
20240117160001,196.88
20240117161001,196.88
20240117162001,196.88
20240117163001,196.88
20240117164001,196.88
20240117165001,196.88
20240119090001,246.87
20240119091001,145.76
20240119092001,104.49
20240119093001,101.95
20240119094001,121.02
20240119095001,147.65
20240119100001,175.88
20240119101001,201.13
20240119102001,219.77
20240119103001,229.4
20240119104001,233.68
20240119105001,234.47
20240119110001,232.34
20240119111001,228.9
20240119112001,224.97
20240119113001,220.6
20240119114001,216.42
20240119115001,212.86
20240119120001,209.7
20240119121001,206.48
20240119122001,203.73
20240119123001,201.27
20240119124001,199.15
20240119125001,197.54
20240119130001,196.8
20240119131001,196.83
20240119132001,196.84
20240119133001,196.85
20240119134001,196.86
20240119135001,196.87
20240119140001,196.87
20240119141001,196.88
20240119142001,196.88
20240119143001,196.88
20240119144001,196.88
20240119145001,196.88
20240119150001,196.88
20240119151001,196.88
20240119152001,196.88
20240119153001,196.88
20240119154001,196.88
20240119155001,196.88
20240119160001,196.88
20240119161001,196.88
20240119162001,196.88
20240119163001,196.88
20240119164001,196.88
20240119165001,196.88
20240224090001,89.19
20240224091001,65.6
20240224092001,75.41
20240224093001,107.11
20240224094001,148.69
20240224095001,185.47
20240224100001,213.41
20240224101001,234.91
20240224102001,248.35
20240224103001,255.07
20240224104001,255.02
20240224105001,252.81
20240224110001,248.41
20240224111001,243.03
20240224112001,237.15
20240224113001,231.61
20240224114001,226.11
20240224115001,221.05
20240224120001,216.43
20240224121001,212.38
20240224122001,208.53
20240224123001,204.7
20240224124001,201.17
20240224125001,198.23
20240224130001,196.79
20240224131001,196.81
20240224132001,196.83
20240224133001,196.85
20240224134001,196.86
20240224135001,196.86
20240224140001,196.87
20240224141001,196.87
20240224142001,196.88
20240224143001,196.88
20240224144001,196.88
20240224145001,196.88
20240224150001,196.88
20240224151001,196.88
