SeqNumber,Avg_Temperature(°C),Avg_Humidity(%),Avg_Sunlight(Lux),Min_Temperature(°C),Min_Humidity(%),Min_Sunlight(Lux),Min_Power(mW),Max_Temperature(°C),Max_Humidity(%),Max_Sunlight(Lux),Max_Power(mW),Avg_Diff_Temperature(°C),Avg_Diff_Humidity(%),Avg_Diff_Sunlight(Lux),Min_Diff_Temperature(°C),Min_Diff_Humidity(%),Min_Diff_Sunlight(Lux),Min_Diff_Power(mW),Max_Diff_Temperature(°C),Max_Diff_Humidity(%),Max_Diff_Sunlight(Lux),Max_Diff_Power(mW),Avg_Power(mW)
20240225090014,18.614307403564453,92.83394622802734,6307.2900390625,18.047840118408203,91.90792083740234,5830.21484375,-1.7100167274475098,18.384204864501957,93.8939971923828,8463.44140625,22.7836971282959,0.027145242318511,-0.4136209785938263,-69.76007080078125,-0.1427107453346252,-1.6445074081420898,-1265.967041015625,-32.9556884765625,0.0745074525475502,1.025757908821106,871.813232421875,-14.562911987304688,0.0
20240225091014,18.99043846130371,90.64081573486328,7569.0087890625,18.474401473999023,89.29542541503906,6844.3994140625,4.209397315979004,18.86509323120117,91.4259796142578,10076.1494140625,41.46397399902344,0.0275657642632722,-0.377593994140625,-70.3266372680664,-0.195881649851799,-1.7877633571624756,-1964.8094482421875,-38.20029067993164,0.0995205119252204,1.1479830741882324,1213.7237548828125,-7.511102199554443,0.0
20240225092014,19.48305892944336,88.31087493896484,9234.2119140625,19.031003952026367,86.64425659179688,8208.642578125,9.789785385131836,19.4703426361084,89.1729736328125,11975.94140625,65.16214752197266,0.0402816534042358,-0.3656711280345917,-33.48739242553711,-0.2143433392047882,-1.936081051826477,-2258.792236328125,-42.79988861083984,0.1321263164281845,1.2943042516708374,1556.18115234375,0.7892448306083679,12.12618024001074
20240225093014,20.0355224609375,85.71019744873047,11295.9755859375,19.653484344482425,83.89938354492188,9867.111328125,20.7946834564209,20.11815643310547,86.89413452148438,14176.259765625,93.84920501708984,0.0437860824167728,-0.3559162616729736,-30.299213409423828,-0.2457373738288879,-2.1599113941192627,-2481.97607421875,-48.56704711914063,0.1755054146051406,1.4879035949707031,1898.828369140625,13.6241455078125,35.31667202619684
20240225094014,20.638206481933597,83.00116729736328,13583.349609375,20.334247589111328,81.03260040283203,11712.900390625,34.539451599121094,20.825138092041016,84.53466033935547,16603.603515625,126.62227630615234,0.0473894551396369,-0.3478837013244629,-29.993566513061523,-0.2822157144546509,-2.4044723510742188,-2726.318603515625,-54.7757682800293,0.2244011461734771,1.6995130777359009,2253.727783203125,27.74224853515625,62.42663964207185
20240225095014,21.287221908569336,80.15299224853516,16094.1767578125,21.071075439453125,78.01115417480469,13738.2890625,51.12907791137695,21.58781623840332,82.06033325195312,19252.96875,163.52772521972656,0.0509459897875785,-0.3455456495285034,-37.823612213134766,-0.3251881301403045,-2.6785266399383545,-3015.706298828125,-61.842655181884766,0.2788262069225311,1.926485061645508,2622.404541015625,43.23492431640625,93.66270729662011
20240225100014,21.97711944580078,77.15837097167969,18786.41015625,21.85687255859375,74.82877349853516,15901.3720703125,70.16513061523438,22.399208068847656,79.456298828125,22083.095703125,204.0905303955078,0.054331999272108,-0.3512508869171142,-55.40208435058594,-0.3750442564487457,-2.9826929569244385,-3362.326904296875,-70.04779815673828,0.3381827473640442,2.163780689239502,3007.727783203125,60.09418487548828,128.57108749236318
20240225101014,22.746112823486328,73.97503662109375,21734.0625,22.64668655395508,71.48126220703125,18323.81640625,95.2514419555664,23.26118278503418,76.63134002685547,25298.24609375,251.5583648681641,0.0576035343110561,-0.3411063253879547,-54.07512664794922,-0.4285677969455719,-3.242838859558105,-3700.61083984375,-79.69112396240234,0.3973587453365326,2.389173984527588,3453.46044921875,76.25233459472656,168.08770440245578
20240225102014,23.65902328491211,70.465087890625,25211.275390625,23.407554626464844,67.87003326416016,21305.396484375,132.97276306152344,24.198291778564453,73.40270233154297,29340.236328125,313.0841064453125,0.0609887540340423,-0.2868635058403015,-3.9663026332855225,-0.4847928881645202,-3.386146068572998,-3980.203125,-91.72803497314452,0.4530381560325622,2.587883472442627,4027.720947265625,89.98945617675781,216.38468930404377
20240225103014,24.66349601745605,66.5212631225586,29291.470703125,24.23528480529785,63.80998611450195,24781.34375,179.7262725830078,25.223670959472656,69.75202178955078,34070.87890625,387.1511535644531,0.0642010793089866,-0.2396090924739837,31.87150764465332,-0.5559664964675903,-3.5776009559631348,-4404.18701171875,-107.34630584716795,0.5176993608474731,2.8073110580444336,4685.45068359375,106.267333984375,275.8086464012068
20240225104014,25.750288009643555,62.12775802612305,33911.109375,25.12128257751465,59.284549713134766,28687.302734375,234.81329345703125,26.32553482055664,65.65174865722656,39423.38671875,472.9007568359375,0.0669944658875465,-0.2038490921258926,52.71766662597656,-0.6428683400154114,-3.819002389907837,-4990.24853515625,-126.75885009765624,0.590606153011322,3.0397942066192627,5429.1767578125,125.11959838867188,345.63821624433126
20240225105014,26.887434005737305,57.498870849609375,38868.015625,26.071224212646484,54.52936935424805,32871.15234375,295.5386047363281,27.487939834594727,61.291114807128906,45258.61328125,569.302978515625,0.0638671368360519,-0.1899584531784057,45.79214096069336,-0.7569107413291931,-3.989694595336914,-5803.8046875,-151.0561981201172,0.666569709777832,3.2820024490356445,6183.923828125,146.3235321044922,422.6189641090185
20240225110014,27.969396591186523,53.45219421386719,43570.4296875,27.087852478027344,50.42862319946289,36910.79296875,353.7406921386719,28.65426254272461,57.435523986816406,51126.484375,671.7072143554688,0.0410940088331699,-0.2122670114040374,-12.407644271850586,-0.9221553206443788,-3.738060235977173,-6914.69873046875,-180.9931488037109,0.7303123474121094,3.533792734146118,6705.8828125,168.14822387695312,496.4940420825215
20240225111014,28.981016159057617,50.21941375732422,47760.76171875,28.07079696655273,47.38378143310547,40793.984375,414.2346801757813,29.74567985534668,54.406681060791016,56147.8125,769.0992431640625,0.0314659774303436,-0.1802294105291366,-21.06517601013184,-1.0441477298736572,-3.6655328273773193,-7973.41455078125,-203.9765625,0.7928635478019714,3.7222118377685542,7166.3291015625,190.77810668945312,568.9841639700276
20240225112014,29.81188201904297,47.56428527832031,51517.8046875,28.8638916015625,44.89130783081055,44223.08984375,471.92816162109375,30.635711669921875,51.90473556518555,60635.48828125,859.8276977539062,0.0231266096234321,-0.1576818823814392,-35.085208892822266,-1.155428409576416,-3.627811908721924,-8978.318359375,-225.9879302978516,0.8513906598091125,3.881185531616211,7609.716796875,212.51026916503903,638.3000651956743
20240225113014,30.355443954467773,46.14751052856445,54759.53125,29.325977325439453,43.19937133789063,47396.6796875,533.3643188476562,31.3786735534668,50.644081115722656,63852.98828125,938.263916015625,0.0038423857185989,-0.097266636788845,-59.36804962158203,-1.2116786241531372,-3.536191701889038,-9002.693359375,-235.325439453125,0.9011363983154296,3.90139365196228,8115.80029296875,219.33644104003903,707.5465023213288
