SeqNumber,Avg_Temperature(°C),Avg_Humidity(%),Avg_Sunlight(Lux),Avg_Power(mW),Avg_Diff_Temperature(°C),Avg_Diff_Humidity(%),Avg_Diff_Sunlight(Lux),Avg_Diff_Power(mW),Avg_Lag_1_Temperature(°C),Avg_Lag_2_Temperature(°C),Avg_Lag_1_Humidity(%),Avg_Lag_2_Humidity(%),Avg_Lag_1_Sunlight(Lux),Avg_Lag_2_Sunlight(Lux),Avg_Lag_1_Power(mW),Avg_Lag_2_Power(mW),Avg_Sin_Hour,Avg_Cos_Hour,Avg_Sin_Minute,Avg_Cos_Minute,Max_Temperature(°C),Max_Humidity(%),Max_Sunlight(Lux),Max_Power(mW),Max_Diff_WindSpeed(m/s),Max_Diff_Pressure(hpa),Max_Diff_Temperature(°C),Max_Diff_Humidity(%),Max_Diff_Sunlight(Lux),Max_Diff_Power(mW),Max_Lag_1_Temperature(°C),Max_Lag_2_Temperature(°C),Max_Lag_1_Humidity(%),Max_Lag_2_Humidity(%),Max_Lag_1_Sunlight(Lux),Max_Lag_2_Sunlight(Lux),Max_Lag_1_Power(mW),Max_Lag_2_Power(mW),Max_Sin_Hour,Max_Cos_Hour,Max_Sin_Minute,Max_Cos_Minute,Min_Temperature(°C),Min_Humidity(%),Min_Sunlight(Lux),Min_Power(mW),Min_Diff_Temperature(°C),Min_Diff_Humidity(%),Min_Diff_Sunlight(Lux),Min_Diff_Power(mW),Min_Lag_1_Temperature(°C),Min_Lag_2_Temperature(°C),Min_Lag_1_Humidity(%),Min_Lag_2_Humidity(%),Min_Lag_1_Sunlight(Lux),Min_Lag_2_Sunlight(Lux),Min_Lag_1_Power(mW),Min_Lag_2_Power(mW),Min_Sin_Hour,Min_Cos_Hour,Min_Sin_Minute,Min_Cos_Minute,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Minute_0,Minute_10,Minute_20,Minute_30,Minute_40,Minute_50
20240509090005,29.585071563720703,60.28145980834961,22534.7578125,119.25437704385422,0.005726995412260294,-0.48197901248931885,22.642066955566406,-0.14414004981517792,29.423112869262695,29.348628997802734,60.90184783935547,60.857872009277344,22246.330078125,22220.359375,124.98019409179688,121.71298217773438,0.6987640261650085,-0.6160697937011719,-0.005974230822175741,0.8348977565765381,30.09941291809082,62.579612731933594,24925.943359375,186.936767578125,1.0655810832977295,0.05288119614124298,0.25848817825317383,0.960992693901062,1035.2158203125,36.045806884765625,30.000337600708008,29.860811233520508,63.26011276245117,63.56277847290039,24462.6171875,24105.009765625,173.86090087890625,170.63467407226562,0.68832927942276,-0.615612268447876,-0.005289160646498203,0.8348461389541626,28.94027328491211,58.163047790527344,21068.92578125,116.87171173095703,-0.35768526792526245,-1.677668809890747,-1528.823486328125,-56.224849700927734,28.82548713684082,28.817420959472656,58.54182434082031,58.67377853393555,20667.490234375,20859.830078125,111.75334167480469,103.30110168457031,0.6912830471992493,-0.6161487102508545,-0.011949083767831326,0.8344990015029907,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20240509091005,30.745912551879883,57.83654022216797,24304.8671875,136.29254430083245,0.029496947303414345,-0.37255847454071045,122.87908172607422,3.1857709884643555,30.522823333740234,30.49677085876465,58.22624588012695,58.33833694458008,23972.93359375,23756.390625,137.4960174560547,131.37039184570312,0.7420519590377808,-0.6365411877632141,0.7299057245254517,0.4327892065048218,31.201385498046875,60.11697006225586,26351.32421875,197.16329956054688,1.078430414199829,0.05609159171581268,0.28312644362449646,1.0651167631149292,1239.4615478515625,40.802818298339844,31.147104263305664,31.047901153564453,60.723541259765625,61.02919387817383,26100.10546875,25413.515625,187.99691772460938,182.0924530029297,0.7368951439857483,-0.6366044282913208,0.7289323806762695,0.4305623769760132,30.061735153198242,55.51022720336914,22921.115234375,126.36471557617188,-0.26850253343582153,-1.6207091808319092,-1302.29443359375,-55.41053771972656,29.92660903930664,29.9034481048584,56.08781051635742,56.2053108215332,22330.919921875,22406.126953125,118.12747192382812,119.75071716308594,0.737541675567627,-0.6376870274543762,0.7287846207618713,0.43220019340515137,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20240509092005,31.740684509277344,54.948516845703125,27067.16796875,171.08791853935588,0.02135590650141239,-0.3352275788784027,14.23572063446045,1.2665772438049316,31.520124435424805,31.500158309936523,55.10013961791992,55.189327239990234,26777.376953125,26549.689453125,175.6051025390625,170.69216918945312,0.722925066947937,-0.6534056663513184,0.7301578521728516,-0.460132896900177,32.2076416015625,57.06010818481445,30480.376953125,261.4603271484375,1.1198704242706299,0.05867521092295647,0.29362791776657104,1.1119236946105957,2350.64111328125,67.85034942626953,32.153717041015625,32.0757942199707,57.60584259033203,57.80465316772461,30443.166015625,29599.224609375,256.7652282714844,245.83859252929688,0.7214089632034302,-0.6557217836380005,0.7292625904083252,-0.4668594002723694,30.943395614624023,52.57261657714844,24737.06640625,140.73208618164062,-0.32908743619918823,-1.7843451499938965,-2802.116943359375,-80.38955688476562,30.911182403564453,30.85068702697754,52.95646286010742,52.977806091308594,24036.083984375,24128.384765625,132.96669006347656,135.64576721191406,0.721872866153717,-0.6563592553138733,0.7293263077735901,-0.46534019708633423,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20240509093005,32.56071853637695,52.22966003417969,29521.583984375,203.9705530225757,-0.008406314998865128,-0.3915083408355713,-112.2856216430664,-0.969835102558136,32.35076141357422,32.39054870605469,52.34998321533203,52.347721099853516,29204.638671875,29235.6171875,213.95103454589844,209.6726837158203,0.7051065564155579,-0.6414598226547241,-0.015313503332436085,-0.8826300501823425,33.128196716308594,54.35280227661133,34139.73046875,311.48382568359375,1.1294806003570557,0.05990784242749214,0.2926303744316101,1.057087779045105,2851.62548828125,84.8773193359375,33.06230926513672,33.02028274536133,54.73204803466797,54.701805114746094,34165.22265625,33572.38671875,311.3125,308.0253601074219,0.7044150829315186,-0.6436887979507446,-0.015015746466815472,-0.8858641386032104,31.78762435913086,49.515869140625,26243.677734375,159.65560913085938,-0.5158720016479492,-2.103888750076294,-4493.2109375,-110.33873748779297,31.73478126525879,31.72890853881836,50.12895584106445,50.078453063964844,25867.76171875,25874.9453125,156.8367462158203,157.94651794433594,0.7040066719055176,-0.6427536010742188,-0.019578922539949417,-0.8870627880096436,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20240509094005,33.35426330566406,49.751468658447266,31662.42578125,237.10510633304716,-0.015301522798836231,-0.4058772623538971,-201.22206115722656,-2.278521776199341,33.158660888671875,33.23689651489258,49.8876838684082,49.96564483642578,31428.458984375,31251.068359375,248.51980590820312,244.1937713623047,0.7131525874137878,-0.6336475610733032,-0.8013853430747986,-0.43474388122558594,34.019168853759766,51.89958190917969,37180.6015625,358.8334045410156,1.1215176582336426,0.05630563199520111,0.30472660064697266,1.0266015529632568,3498.013427734375,99.51873779296875,33.89810562133789,33.9361572265625,52.142799377441406,52.249454498291016,36994.921875,36831.8515625,360.1062927246094,360.1781005859375,0.7109408378601074,-0.6358760595321655,-0.7990059852600098,-0.4323852062225342,32.56053161621094,46.9664421081543,27518.564453125,177.07823181152344,-0.642424464225769,-2.180549144744873,-5280.53076171875,-124.1373519897461,32.50510025024414,32.49679946899414,47.54188919067383,47.62983322143555,27360.328125,27313.931640625,175.7652130126953,176.6815643310547,0.7130852937698364,-0.6334827542304993,-0.8085960745811462,-0.4385903477668762,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20240509095005,34.23250961303711,46.462486267089844,32974.9453125,269.36927373037815,0.013105001300573349,-0.3118559420108795,-11.158413887023926,0.6666482090950012,34.08134460449219,34.09554672241211,46.59782791137695,46.83249282836914,32808.36328125,32658.931640625,272.432861328125,266.0876159667969,0.7225334048271179,-0.6704095602035522,-0.7977709770202637,0.4727391004562378,34.944786071777344,48.64775848388672,38932.984375,388.99407958984375,1.1677205562591553,0.05263493210077286,0.31484097242355347,1.099010944366455,3828.834716796875,100.14325714111328,34.78927993774414,34.891151428222656,48.81536102294922,49.06806945800781,38677.68359375,38439.5859375,379.7962341308594,383.28778076171875,0.7186805605888367,-0.6714909672737122,-0.7985566854476929,0.47631144523620605,33.479408264160156,44.00682067871094,28774.498046875,197.13027954101562,-0.5106277465820312,-1.9392503499984741,-4361.72021484375,-115.69125366210938,33.35414123535156,33.374778747558594,44.38734817504883,44.638572692871094,28554.650390625,28574.365234375,192.577880859375,192.33468627929688,0.7210991978645325,-0.6691640615463257,-0.8016963601112366,0.47339141368865967,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20240509100005,35.285423278808594,43.7374382019043,37212.63671875,316.175916949872,0.01281146053224802,-0.2080162763595581,55.49327850341797,2.3405356407165527,35.17509078979492,35.16807556152344,43.856876373291016,44.01297378540039,37001.92578125,36896.20703125,317.0935363769531,312.8378601074219,0.5449829697608948,-0.8006224632263184,0.036229223012924194,0.8446006774902344,35.95549392700195,45.67877197265625,43793.84765625,444.6843566894531,1.1618363857269287,0.05110527202486992,0.29408496618270874,1.2260820865631104,4350.849609375,107.98355102539062,35.8430290222168,35.90187454223633,45.885963439941406,45.99645233154297,43669.2265625,43246.26171875,432.9352722167969,433.515380859375,0.5391349196434021,-0.8020323514938354,0.03362366557121277,0.8457430601119995,34.551753997802734,41.61827087402344,32252.9375,236.28138732910156,-0.4024066925048828,-1.6003093719482422,-4139.68798828125,-119.9036636352539,34.424678802490234,34.47441482543945,41.844913482666016,42.035945892333984,32175.123046875,32138.34375,231.6340789794922,231.93701171875,0.5393439531326294,-0.7996057868003845,0.03369086980819702,0.8447462320327759,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
20240509101005,36.415008544921875,41.268741607666016,37568.38671875,326.7424691689183,0.028735628351569176,-0.1300828605890274,178.55503845214844,4.714705944061279,36.31708526611328,36.305572509765625,41.39370346069336,41.44481658935547,37411.83203125,37226.4140625,321.564697265625,317.8849792480469,0.58269864320755,-0.8199280500411987,0.7426798343658447,0.4440706968307495,37.1060905456543,43.158206939697266,44348.84375,454.8449401855469,1.1961828470230103,0.05377810075879097,0.31523066759109497,1.272538423538208,4666.88720703125,118.93897247314453,36.98600769042969,37.05790710449219,43.40814971923828,43.50900650024414,44447.52734375,43862.14453125,446.4922790527344,442.0947570800781,0.5797155499458313,-0.8210836052894592,0.7415322661399841,0.4465367794036865,35.628631591796875,39.075531005859375,32568.810546875,239.7248077392578,-0.28493931889533997,-1.5056201219558716,-4150.62646484375,-120.90855407714844,35.46746063232422,35.521087646484375,39.467166900634766,39.67416000366211,32547.3984375,32275.6796875,233.67498779296875,235.40145874023438,0.5784177184104919,-0.8190233707427979,0.7427453994750977,0.44367754459381104,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
20240509102005,37.38457107543945,39.34858703613281,42213.92578125,394.8668923582446,0.006784858647733927,-0.17947521805763245,-52.51300811767578,0.45569753646850586,37.31810760498047,37.27299118041992,39.32607650756836,39.357357025146484,42239.58203125,42123.953125,394.9718017578125,395.9433898925781,0.5516437888145447,-0.8301159143447876,0.7345573306083679,-0.46043670177459717,38.047821044921875,41.105857849121094,51222.03125,573.19921875,1.2204699516296387,0.056550320237874985,0.33022046089172363,1.2322819232940674,6339.55029296875,161.20101928710938,38.02985763549805,38.001617431640625,41.38622283935547,41.38274383544922,51565.5390625,51121.85546875,570.4375610351562,564.5628051757812,0.5523220300674438,-0.8334145545959473,0.7335011959075928,-0.45972740650177,36.48223876953125,37.27933883666992,35461.953125,273.4383239746094,-0.36271971464157104,-1.6192296743392944,-6519.33203125,-165.61485290527344,36.43352127075195,36.424991607666016,37.38328170776367,37.49702453613281,35340.14453125,35217.21484375,269.84100341796875,271.2714538574219,0.5512158274650574,-0.8304978609085083,0.7349345088005066,-0.4650840759277344,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
20240509103005,38.02037048339844,37.8576774597168,44224.359375,422.1442806524211,-0.020405014976859093,-0.20482337474822998,-113.8993911743164,-0.2996094822883606,37.97438430786133,37.99545669555664,37.844661712646484,37.81428146362305,44129.5234375,44261.3671875,426.8249206542969,428.7428894042969,0.5220217108726501,-0.8202614784240723,-0.023681513965129852,-0.8893684148788452,38.74641036987305,39.70414352416992,54391.49609375,623.9573974609375,1.207824945449829,0.059063300490379333,0.3200899362564087,1.2234243154525757,6956.11376953125,181.46530151367188,38.78702926635742,38.71987533569336,39.89950180053711,39.6827392578125,54688.57421875,54513.78125,621.127685546875,625.445556640625,0.5233921408653259,-0.8228355646133423,-0.024488134309649467,-0.8874931335449219,37.15867614746094,35.58112335205078,36441.31640625,286.2590637207031,-0.48268985748291016,-1.7842446565628052,-8255.818359375,-203.0140838623047,37.121429443359375,37.14551544189453,35.91682434082031,35.904842376708984,36417.7109375,36318.90234375,286.0818786621094,286.50714111328125,0.521220326423645,-0.8196427822113037,-0.0215630903840065,-0.8940919637680054,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
